!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:10:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
10000000,0.83336323,-0.24528717
10100003.344593,0.79400301,-0.32189071
10200006.689187,0.84188014,-0.36662319
10300010.03378,0.85311759,-0.26439196
10400013.378374,0.87624842,-0.32570675
10500016.722967,0.87597275,-0.32851696
10600020.067561,0.87321246,-0.32057202
10700023.412154,0.8484264,-0.31284538
10800026.756748,0.7826522,-0.28290492
10900030.101341,0.85110945,-0.29833439
11000033.445935,0.88041592,-0.3424302
11100036.790528,0.82934034,-0.30206656
11200040.135122,0.80590755,-0.38558081
11300043.479715,0.85135895,-0.30127665
11400046.824309,0.80973309,-0.37602794
11500050.168902,0.79403073,-0.37962031
11600053.513495,0.81985778,-0.34153336
11700056.858089,0.71320194,-0.39680603
11800060.202682,0.84254181,-0.32128629
11900063.547276,0.80793631,-0.39630473
12000066.891869,0.82794267,-0.36981562
12100070.236463,0.80487615,-0.35262549
12200073.581056,0.78927094,-0.37414834
12300076.92565,0.76022929,-0.35442719
12400080.270243,0.79673356,-0.39142346
12500083.614837,0.76002777,-0.4415285
12600086.95943,0.79161,-0.4025552
12700090.304024,0.76323545,-0.38989219
12800093.648617,0.81833529,-0.37096411
12900096.99321,0.73488939,-0.41262022
13000100.337804,0.82906342,-0.37522221
13100103.682397,0.75716889,-0.40450719
13200107.026991,0.81787997,-0.45450693
13300110.371584,0.82015723,-0.40763566
13400113.716178,0.8090933,-0.45985609
13500117.060771,0.7500065,-0.41577074
13600120.405365,0.77151626,-0.43877214
13700123.749958,0.76219893,-0.40818158
13800127.094552,0.74711943,-0.41672531
13900130.439145,0.75351763,-0.45275113
14000133.783739,0.7487523,-0.43434209
14100137.128332,0.73987961,-0.43255824
14200140.472926,0.7343483,-0.47308615
14300143.817519,0.74130511,-0.47699672
14400147.162112,0.76400816,-0.46705022
14500150.506706,0.76015687,-0.47899172
14600153.851299,0.74603951,-0.51875591
14700157.195893,0.73679662,-0.46318763
14800160.540486,0.71389616,-0.47798222
14900163.88508,0.71118867,-0.4642947
15000167.229673,0.7042554,-0.47044495
15100170.574267,0.74070275,-0.46797317
15200173.91886,0.74403834,-0.46682718
15300177.263454,0.73002988,-0.47275579
15400180.608047,0.72147596,-0.47256678
15500183.952641,0.77600145,-0.51699668
15600187.297234,0.70655537,-0.51898932
15700190.641827,0.69591528,-0.45611617
15800193.986421,0.73742932,-0.51809043
15900197.331014,0.74087918,-0.48686674
16000200.675608,0.71631783,-0.50410312
16100204.020201,0.72818917,-0.5165028
16200207.364795,0.74962211,-0.48543364
16300210.709388,0.6959908,-0.5492571
16400214.053982,0.72728258,-0.48506033
16500217.398575,0.71584135,-0.54306269
16600220.743169,0.72507167,-0.47633031
16700224.087762,0.67920715,-0.50549096
16800227.432356,0.69533181,-0.51818907
16900230.776949,0.67703968,-0.51824272
17000234.121543,0.68085426,-0.54203951
17100237.466136,0.69555175,-0.55484414
17200240.810729,0.68686926,-0.54966909
17300244.155323,0.694031,-0.54970562
17400247.499916,0.66194576,-0.56414938
17500250.84451,0.66922224,-0.51565516
17600254.189103,0.70759344,-0.55319446
17700257.533697,0.6314494,-0.56773597
17800260.87829,0.70777088,-0.57886159
17900264.222884,0.651272,-0.57414019
18000267.567477,0.63624948,-0.52612519
18100270.912071,0.67585778,-0.58596057
18200274.256664,0.686728,-0.58872032
18300277.601258,0.62267095,-0.58861911
18400280.945851,0.66999823,-0.61046684
18500284.290444,0.61500144,-0.59560281
18600287.635038,0.62994301,-0.57419449
18700290.979631,0.64725393,-0.60056341
18800294.324225,0.63693655,-0.6049968
18900297.668818,0.64853364,-0.58949447
19000301.013412,0.63493705,-0.5770005
19100304.358005,0.61647558,-0.60786635
19200307.702599,0.63498008,-0.60214669
19300311.047192,0.64230239,-0.62795389
19400314.391786,0.60981923,-0.60701966
19500317.736379,0.63074964,-0.60883045
19600321.080973,0.58852994,-0.60974836
19700324.425566,0.60831201,-0.61131388
19800327.77016,0.63037753,-0.62535036
19900331.114753,0.61443037,-0.61928582
20000334.459346,0.61644173,-0.61258441
20100337.80394,0.58422607,-0.62255222
20200341.148533,0.63480616,-0.64056093
20300344.493127,0.62708884,-0.60485286
20400347.83772,0.60037959,-0.61342353
20500351.182314,0.58406878,-0.64082545
20600354.526907,0.57365352,-0.64670306
20700357.871501,0.59232956,-0.62545586
20800361.216094,0.57238269,-0.60739833
20900364.560688,0.57289118,-0.6170488
21000367.905281,0.59896612,-0.65688616
21100371.249875,0.58640993,-0.65437114
21200374.594468,0.5629195,-0.658481
21300377.939062,0.5706296,-0.64165002
21400381.283655,0.54992676,-0.65391022
21500384.628248,0.56250429,-0.66985643
21600387.972842,0.57972151,-0.6752429
21700391.317435,0.55906457,-0.6756379
21800394.662029,0.54192746,-0.67532974
21900398.006622,0.55526578,-0.68548357
22000401.351216,0.536838,-0.67363119
22100404.695809,0.55026031,-0.66921347
22200408.040403,0.55610645,-0.68688178
22300411.384996,0.53165752,-0.6835205
22400414.72959,0.54497302,-0.65442222
22500418.074183,0.5306688,-0.67929161
22600421.418777,0.52320701,-0.70106351
22700424.76337,0.51890022,-0.68152589
22800428.107963,0.52027661,-0.7027936
22900431.452557,0.54648709,-0.69770873
23000434.79715,0.497311,-0.68483907
23100438.141744,0.53636009,-0.68366748
23200441.486337,0.51906073,-0.68123001
23300444.830931,0.49492157,-0.70178276
23400448.175524,0.51388657,-0.70126665
23500451.520118,0.5172022,-0.70462358
23600454.864711,0.49765161,-0.72605997
23700458.209305,0.51791584,-0.69790357
23800461.553898,0.47968823,-0.69399846
23900464.898492,0.51730585,-0.72173142
24000468.243085,0.48456627,-0.6964702
24100471.587679,0.50597692,-0.70364982
24200474.932272,0.50381029,-0.72733361
24300478.276865,0.48836797,-0.7185384
24400481.621459,0.49105757,-0.71573484
24500484.966052,0.47016287,-0.7308237
24600488.310646,0.47442338,-0.72154546
24700491.655239,0.47104284,-0.72706497
24800494.999833,0.45777246,-0.72593987
