!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:16:12
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
10000000,0.75926942,0.0023984627
10100003.344593,0.83748549,-0.001347507
10200006.689187,0.8027184,-0.046803895
10300010.03378,0.85313237,-0.14889675
10400013.378374,0.81343991,-0.065406993
10500016.722967,0.69393075,-0.034198407
10600020.067561,0.74178195,-0.056945723
10700023.412154,0.79546165,-0.072317272
10800026.756748,0.78523868,-0.079577006
10900030.101341,0.75850856,-0.10778722
11000033.445935,0.7769956,-0.061311692
11100036.790528,0.79993224,-0.12753306
11200040.135122,0.77560622,-0.046324093
11300043.479715,0.75917637,-0.13494156
11400046.824309,0.7830447,-0.13110006
11500050.168902,0.64844841,-0.074533679
11600053.513495,0.7417866,-0.12219752
11700056.858089,0.73141611,-0.067196861
11800060.202682,0.68964392,-0.19574708
11900063.547276,0.70142078,-0.17926757
12000066.891869,0.76844537,-0.12298942
12100070.236463,0.72537249,-0.097198389
12200073.581056,0.72831923,-0.10861386
12300076.92565,0.67005414,-0.095531687
12400080.270243,0.71170276,-0.19973177
12500083.614837,0.72125852,-0.11938944
12600086.95943,0.67666519,-0.12522432
12700090.304024,0.70766693,-0.13404357
12800093.648617,0.60273719,-0.099361762
12900096.99321,0.5914402,-0.05992895
13000100.337804,0.51095432,0.019717449
13100103.682397,0.60276151,0.11162256
13200107.026991,0.73675185,0.049729113
13300110.371584,0.83123815,-0.050520565
13400113.716178,0.80367351,-0.071342781
13500117.060771,0.74730235,-0.11319593
13600120.405365,0.74664843,-0.08630491
13700123.749958,0.78172499,-0.061358362
13800127.094552,0.74072689,-0.094554126
13900130.439145,0.70597458,-0.12048119
14000133.783739,0.73151207,-0.15544488
14100137.128332,0.80177873,-0.17378704
14200140.472926,0.75102156,-0.12948748
14300143.817519,0.72229582,-0.084996007
14400147.162112,0.71775752,-0.10478365
14500150.506706,0.75647724,-0.058884911
14600153.851299,0.69685477,-0.12448359
14700157.195893,0.70401675,-0.065109208
14800160.540486,0.68241233,-0.084296428
14900163.88508,0.71764237,-0.12129904
15000167.229673,0.72938544,-0.11962768
15100170.574267,0.70590866,-0.13058645
15200173.91886,0.73608696,-0.097382322
15300177.263454,0.70110935,-0.13045155
15400180.608047,0.73236674,-0.15042695
15500183.952641,0.68519986,-0.16932802
15600187.297234,0.66905695,-0.14227489
15700190.641827,0.66594988,-0.18966618
15800193.986421,0.69908482,-0.16380572
15900197.331014,0.67883885,-0.15554622
16000200.675608,0.65767735,-0.12939993
16100204.020201,0.6637615,-0.13139971
16200207.364795,0.62984759,-0.076849572
16300210.709388,0.56670541,0.0039749979
16400214.053982,0.69798434,0.047166388
16500217.398575,0.75592232,0.023560228
16600220.743169,0.76310617,-0.029349275
16700224.087762,0.81059515,-0.073629685
16800227.432356,0.79337269,-0.064895079
16900230.776949,0.76585901,-0.13267699
17000234.121543,0.77011985,-0.076740175
17100237.466136,0.78549182,-0.097214505
17200240.810729,0.7461549,-0.13381547
17300244.155323,0.75574976,-0.12125208
17400247.499916,0.73433459,-0.06846258
17500250.84451,0.72703916,-0.14459817
17600254.189103,0.75550425,-0.074244291
17700257.533697,0.6868974,-0.12998557
17800260.87829,0.69090891,-0.11633553
17900264.222884,0.70688963,-0.13637197
18000267.567477,0.7645539,-0.17698099
18100270.912071,0.69170773,-0.18410951
18200274.256664,0.727166,-0.16679965
18300277.601258,0.75416875,-0.13804843
18400280.945851,0.71274781,-0.10898933
18500284.290444,0.71855658,-0.1073636
18600287.635038,0.70280766,-0.14468244
18700290.979631,0.68825144,-0.09062843
18800294.324225,0.71348298,-0.11531278
18900297.668818,0.69328868,-0.14232391
19000301.013412,0.71186286,-0.11547733
19100304.358005,0.70794892,-0.14112361
19200307.702599,0.71899658,-0.17305969
19300311.047192,0.66195118,-0.14909561
19400314.391786,0.66482443,-0.11999916
19500317.736379,0.68441546,-0.10208128
19600321.080973,0.68973887,-0.097061075
19700324.425566,0.70039988,-0.086280502
19800327.77016,0.71756941,-0.090271808
19900331.114753,0.78252906,-0.085825115
20000334.459346,0.74636137,-0.10160951
20100337.80394,0.73400521,-0.14326069
20200341.148533,0.73073715,-0.11844988
20300344.493127,0.75368798,-0.10327235
20400347.83772,0.76185006,-0.1021351
20500351.182314,0.73277617,-0.17301257
20600354.526907,0.71399575,-0.14783482
20700357.871501,0.74243891,-0.17009626
20800361.216094,0.69760168,-0.11432023
20900364.560688,0.75080317,-0.148214
21000367.905281,0.71305662,-0.11596426
21100371.249875,0.69966549,-0.12416617
21200374.594468,0.77769166,-0.10455856
21300377.939062,0.75567347,-0.15545796
21400381.283655,0.72967666,-0.14993246
21500384.628248,0.72126365,-0.11884421
21600387.972842,0.71663833,-0.14038895
21700391.317435,0.7062211,-0.14559883
21800394.662029,0.68318737,-0.15616912
21900398.006622,0.70254773,-0.19669054
22000401.351216,0.70308185,-0.1484731
22100404.695809,0.71229833,-0.2074049
22200408.040403,0.7058571,-0.16210815
22300411.384996,0.71054214,-0.16080916
22400414.72959,0.71477503,-0.13995467
22500418.074183,0.6945098,-0.13916938
22600421.418777,0.68735993,-0.1483576
22700424.76337,0.68980139,-0.1167568
22800428.107963,0.6691978,-0.117046
22900431.452557,0.75028181,-0.15060964
23000434.79715,0.73047543,-0.12435804
23100438.141744,0.74160349,-0.13506891
23200441.486337,0.72565341,-0.1202471
23300444.830931,0.71073711,-0.12260973
23400448.175524,0.72007841,-0.1446145
23500451.520118,0.72690177,-0.15979996
23600454.864711,0.71692204,-0.11687413
23700458.209305,0.77083933,-0.138303
23800461.553898,0.73038548,-0.1409433
23900464.898492,0.73492688,-0.15490532
24000468.243085,0.71566159,-0.13483228
24100471.587679,0.7038306,-0.16624521
24200474.932272,0.725842,-0.18310459
24300478.276865,0.72986442,-0.18069659
24400481.621459,0.7067315,-0.16254149
24500484.966052,0.70433992,-0.16214611
24600488.310646,0.72810245,-0.13792293
24700491.655239,0.72196108,-0.17469585
24800494.999833,0.72083741,-0.18484905
24900498.344426,0.72241676,-0.17093585
25000501.68902,0.70861787,-0.14820804
25100505.033613,0.71768373,-0.17969467
25200508.378207,0.69913387,-0.17194344
25300511.7228,0.73392916,-0.16834821
25400515.067394,0.71071988,-0.15880226
25500518.411987,0.714127,-0.18823519
25600521.75658,0.68391818,-0.16994508
25700525.101174,0.72668654,-0.16624367
25800528.445767,0.68504643,-0.17153861
25900531.790361,0.71633542,-0.1729372
26000535.134954,0.66788501,-0.16843919
26100538.479548,0.67915469,-0.15361764
26200541.824141,0.69878972,-0.17311291
26300545.168735,0.68282634,-0.16625626
26400548.513328,0.67677516,-0.18500181
26500551.857922,0.70668679,-0.16317755
26600555.202515,0.71308249,-0.17284168
26700558.547109,0.7213015,-0.17289224
26800561.891702,0.74322337,-0.1695403
26900565.236296,0.73816735,-0.17756563
27000568.580889,0.71034712,-0.16504008
