!CSV,A.01.01,,,,,,,
!Agilent,Technologies,N5227A,US51270345,A.09.80.20,,,,
!Agilent,N5227A:,A.09.80.20,,,,,,
!Date:,Monday,,November,26,,2018,16:10:40,
!Source:,Standard,,,,,,,
,,,,,,,,
BEGIN,CH1_DATA,,,,,,,
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.83336323,-0.24528717,-0.004322316,0.053005658,-1.4433706,0.87503481,0.56376284,-0.26642814
10100003.344593,0.79400301,-0.32189071,-0.023444513,-0.022361923,-1.5419219,0.81668019,0.6355902,-0.22241762
10200006.689187,0.84188014,-0.36662319,0.020235784,-0.0042087277,-1.3728557,0.92810225,0.52847397,-0.3203392
10300010.03378,0.85311759,-0.26439196,0.0063733803,0.059576258,-1.3164632,0.99153048,0.58605635,-0.33062348
10400013.378374,0.87624842,-0.32570675,-0.021507118,-0.016489862,-1.4095374,0.85959214,0.63181782,-0.41282693
10500016.722967,0.87597275,-0.32851696,-0.0098951515,0.012045175,-1.3746769,0.9893111,0.58326495,-0.31424016
10600020.067561,0.87321246,-0.32057202,0.012143089,-0.023662455,-1.3730156,0.87314063,0.58884364,-0.30832365
10700023.412154,0.8484264,-0.31284538,-0.043364596,-0.026388777,-1.4578526,0.81213939,0.60595673,-0.27689263
10800026.756748,0.7826522,-0.28290492,0.014630559,-0.01215836,-1.3077831,0.93376005,0.5106886,-0.3093735
10900030.101341,0.85110945,-0.29833439,-0.0014823293,-0.027253894,-1.3252444,0.89985842,0.60032779,-0.27314082
11000033.445935,0.88041592,-0.3424302,0.019824514,-0.028033592,-1.3386292,0.9897539,0.5855872,-0.38274327
11100036.790528,0.82934034,-0.30206656,-0.03100046,-0.0048271925,-1.4166762,0.85791934,0.63747817,-0.38085285
11200040.135122,0.80590755,-0.38558081,0.014793533,-0.0072541134,-1.3013723,0.97918081,0.58102989,-0.38618019
11300043.479715,0.85135895,-0.30127665,-0.014906753,-0.039463162,-1.3160988,0.885144,0.55436122,-0.34193346
11400046.824309,0.80973309,-0.37602794,0.025037223,-0.016453335,-1.4087964,0.91675866,0.54521948,-0.42948452
11500050.168902,0.79403073,-0.37962031,0.011282298,-0.020773845,-1.3651284,0.93753117,0.54234594,-0.35261378
11600053.513495,0.81985778,-0.34153336,0.010353044,0.0097516831,-1.4411482,0.99948025,0.51987481,-0.34525794
11700056.858089,0.71320194,-0.39680603,0.027883142,0.0037692953,-1.4179605,1.05073,0.56699181,-0.40260521
11800060.202682,0.84254181,-0.32128629,0.015664054,-0.041003071,-1.2739652,1.0482229,0.5564177,-0.34120113
11900063.547276,0.80793631,-0.39630473,0.0030579895,0.0011373737,-1.3159925,0.98597312,0.6055547,-0.42899752
12000066.891869,0.82794267,-0.36981562,-0.024365531,0.017464299,-1.3065741,1.0220181,0.56814569,-0.35024026
12100070.236463,0.80487615,-0.35262549,0.017159006,-0.017184112,-1.3349227,1.0567858,0.58732092,-0.28667325
12200073.581056,0.78927094,-0.37414834,-0.0062136352,-0.026135849,-1.3061773,1.1093563,0.5446409,-0.38243467
12300076.92565,0.76022929,-0.35442719,-0.011671788,0.027781269,-1.2816887,0.99276638,0.55402792,-0.2997615
12400080.270243,0.79673356,-0.39142346,-0.0078774784,0.010441405,-1.2659141,0.9933005,0.53217387,-0.39113653
12500083.614837,0.76002777,-0.4415285,0.011139552,0.021864627,-1.3783498,0.98991162,0.53139305,-0.33738741
12600086.95943,0.79161,-0.4025552,0.044193558,-0.034046665,-1.2744399,1.0957572,0.53623015,-0.3932924
12700090.304024,0.76323545,-0.38989219,-0.0001385105,-0.014374336,-1.351639,1.0456785,0.52290308,-0.31231838
12800093.648617,0.81833529,-0.37096411,-0.02583248,0.022135861,-1.2779189,1.0500033,0.49883446,-0.3582207
12900096.99321,0.73488939,-0.41262022,0.0025975332,0.020807803,-1.2600982,0.9782849,0.55677515,-0.37782145
13000100.337804,0.82906342,-0.37522221,0.0042685894,-0.022440599,-1.2182139,1.0667051,0.55752218,-0.40217295
