!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:02:08
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
10000000,0.99975544,-0.022879401
10100003.344593,1.0004251,-0.023910796
10200006.689187,1.0004553,-0.022858506
10300010.03378,0.99974155,-0.024083814
10400013.378374,0.99987316,-0.023679383
10500016.722967,0.99974972,-0.023989636
10600020.067561,0.99985272,-0.024282198
10700023.412154,0.99986219,-0.024075985
10800026.756748,0.99992257,-0.024543939
10900030.101341,1.00024,-0.024786789
11000033.445935,0.99929625,-0.025108464
11100036.790528,1.0001119,-0.025260577
11200040.135122,1.0001512,-0.024891477
11300043.479715,0.99940968,-0.025118785
11400046.824309,0.99970579,-0.025201404
11500050.168902,0.99934864,-0.026056634
11600053.513495,0.99956602,-0.02630676
11700056.858089,0.99978739,-0.026201615
11800060.202682,0.99945444,-0.026813554
11900063.547276,0.99937981,-0.0270383
12000066.891869,0.9991926,-0.026859321
12100070.236463,0.99954343,-0.027107643
12200073.581056,0.99924976,-0.027349818
12300076.92565,0.99975538,-0.0275298
12400080.270243,0.99971098,-0.027869385
12500083.614837,0.99970818,-0.028359661
12600086.95943,0.99982691,-0.027880257
12700090.304024,0.99955106,-0.028010856
12800093.648617,0.99927968,-0.028451292
12900096.99321,0.99932039,-0.028434873
13000100.337804,0.99927175,-0.028632842
13100103.682397,0.99911386,-0.029245382
13200107.026991,0.99971747,-0.0293425
13300110.371584,0.99919754,-0.029304191
13400113.716178,0.99978089,-0.029355232
13500117.060771,0.99911594,-0.02978342
13600120.405365,0.99941313,-0.030099006
13700123.749958,0.99928868,-0.030570982
13800127.094552,0.99917316,-0.030365475
13900130.439145,0.99920106,-0.030881377
14000133.783739,0.99909616,-0.030870676
14100137.128332,0.99900919,-0.030640634
14200140.472926,0.99913257,-0.031317998
14300143.817519,0.99933618,-0.031300616
14400147.162112,0.99882025,-0.031181093
14500150.506706,0.99927491,-0.031574465
14600153.851299,0.99897766,-0.031872693
14700157.195893,0.99884599,-0.032098722
14800160.540486,0.99944299,-0.032820739
14900163.88508,0.99915153,-0.032529414
15000167.229673,0.99931103,-0.032087382
15100170.574267,0.99892086,-0.032873049
15200173.91886,0.99902493,-0.033187337
15300177.263454,0.99915284,-0.033383533
15400180.608047,0.99887401,-0.03345874
15500183.952641,0.99904639,-0.03363901
15600187.297234,0.99916869,-0.033910651
15700190.641827,0.99929696,-0.034050509
15800193.986421,0.9987765,-0.034330443
15900197.331014,0.99924183,-0.034614742
16000200.675608,0.99889535,-0.034503181
16100204.020201,0.99898481,-0.035068501
16200207.364795,0.99867064,-0.035253011
16300210.709388,0.99906337,-0.035333585
16400214.053982,0.99901688,-0.035710782
16500217.398575,0.99881738,-0.035676543
16600220.743169,0.99889731,-0.035483707
16700224.087762,0.99903649,-0.036012471
16800227.432356,0.99919838,-0.036331229
16900230.776949,0.99873501,-0.036558837
17000234.121543,0.99882483,-0.036505744
17100237.466136,0.99873489,-0.037051477
17200240.810729,0.99887413,-0.037039798
17300244.155323,0.9990558,-0.037312262
17400247.499916,0.99898386,-0.037563097
17500250.84451,0.9989416,-0.037737537
17600254.189103,0.99895084,-0.037943747
17700257.533697,0.99894303,-0.03816599
17800260.87829,0.99876899,-0.038310364
17900264.222884,0.9986949,-0.038730703
18000267.567477,0.99873966,-0.038343698
18100270.912071,0.99884808,-0.038870092
18200274.256664,0.99842227,-0.038961049
18300277.601258,0.99897069,-0.039394226
18400280.945851,0.99874836,-0.03939629
18500284.290444,0.99894631,-0.039611138
18600287.635038,0.99890399,-0.039811254
18700290.979631,0.99869871,-0.040087633
18800294.324225,0.99873626,-0.040120177
18900297.668818,0.99860346,-0.040718213
19000301.013412,0.99874091,-0.040523253
19100304.358005,0.99852341,-0.040672753
19200307.702599,0.99888706,-0.040997185
19300311.047192,0.99873948,-0.041298475
19400314.391786,0.99870157,-0.041410889
19500317.736379,0.9986341,-0.04160976
19600321.080973,0.99866086,-0.041868217
19700324.425566,0.99851066,-0.042069107
19800327.77016,0.99852061,-0.042101331
19900331.114753,0.99857777,-0.042294446
20000334.459346,0.99853069,-0.042674087
20100337.80394,0.99823588,-0.042946883
20200341.148533,0.9986667,-0.042986907
20300344.493127,0.99842966,-0.04315934
20400347.83772,0.99861062,-0.043512043
20500351.182314,0.99858266,-0.043686718
20600354.526907,0.99856257,-0.043834426
20700357.871501,0.99847221,-0.044230301
20800361.216094,0.9984535,-0.04442523
20900364.560688,0.99849987,-0.044458151
21000367.905281,0.99870825,-0.044388931
21100371.249875,0.99857992,-0.044787981
21200374.594468,0.99850327,-0.045191679
21300377.939062,0.99839789,-0.045397867
21400381.283655,0.99835151,-0.045322165
21500384.628248,0.99839503,-0.045516249
21600387.972842,0.99841899,-0.045899693
21700391.317435,0.99815142,-0.046030894
21800394.662029,0.99843782,-0.04628358
21900398.006622,0.99841863,-0.04644236
22000401.351216,0.99842298,-0.046694584
22100404.695809,0.99819726,-0.046930667
22200408.040403,0.99836582,-0.046936624
22300411.384996,0.99835527,-0.047479235
22400414.72959,0.99827129,-0.047449101
22500418.074183,0.99842691,-0.047682837
22600421.418777,0.99819863,-0.048008714
22700424.76337,0.99817747,-0.048163515
22800428.107963,0.99810511,-0.048364442
22900431.452557,0.99809033,-0.048413794
23000434.79715,0.99822438,-0.048700619
23100438.141744,0.99818605,-0.048694462
23200441.486337,0.99819005,-0.049195249
23300444.830931,0.9979735,-0.049195051
23400448.175524,0.99811071,-0.049444284
23500451.520118,0.99808329,-0.049606536
23600454.864711,0.99818605,-0.049890433
23700458.209305,0.99832845,-0.05015254
23800461.553898,0.99826044,-0.050254669
23900464.898492,0.99801052,-0.050462235
24000468.243085,0.99803036,-0.050465547
24100471.587679,0.99803561,-0.050969221
24200474.932272,0.99813902,-0.050984513
24300478.276865,0.99797285,-0.051459596
24400481.621459,0.99818116,-0.051529378
24500484.966052,0.99802715,-0.051635507
24600488.310646,0.99797702,-0.051772103
24700491.655239,0.99796599,-0.05220798
24800494.999833,0.99798924,-0.052345943
24900498.344426,0.99810272,-0.052408423
25000501.68902,0.99795669,-0.052678738
25100505.033613,0.99794823,-0.052900717
25200508.378207,0.99810535,-0.05297802
25300511.7228,0.99812293,-0.053249002
25400515.067394,0.9979043,-0.053505812
25500518.411987,0.99789423,-0.053565331
25600521.75658,0.99808443,-0.053915229
25700525.101174,0.997895,-0.054125991
25800528.445767,0.9978804,-0.054225139
25900531.790361,0.99791533,-0.054444339
26000535.134954,0.99773192,-0.054619253
26100538.479548,0.99781919,-0.0548991
26200541.824141,0.9980557,-0.055073887
26300545.168735,0.99780154,-0.055415943
26400548.513328,0.9979977,-0.055526692
26500551.857922,0.99761325,-0.055895463
26600555.202515,0.99768645,-0.055869907
26700558.547109,0.99774492,-0.056063954
26800561.891702,0.99782836,-0.056300469
26900565.236296,0.99763358,-0.056472775
27000568.580889,0.99758834,-0.05660475
27100571.925482,0.99773431,-0.056997955
27200575.270076,0.9976669,-0.057134137
27300578.614669,0.9977833,-0.057339329
27400581.959263,0.99763918,-0.057613287
27500585.303856,0.99769825,-0.057764184
27600588.64845,0.99765307,-0.057951152
27700591.993043,0.99751329,-0.058052875
27800595.337637,0.99745822,-0.058312468
27900598.68223,0.99766308,-0.058568746
28000602.026824,0.9975965,-0.058741171
28100605.371417,0.99763346,-0.058788061
28200608.716011,0.99766117,-0.059033494
28300612.060604,0.9975493,-0.059385862
28400615.405197,0.99744868,-0.059588194
28500618.749791,0.99747002,-0.059665989
28600622.094384,0.99739289,-0.05989911
28700625.438978,0.99768025,-0.060303826
28800628.783571,0.99748057,-0.060396384
28900632.128165,0.99740803,-0.060464192
29000635.472758,0.99734515,-0.060602456
29100638.817352,0.99753904,-0.060980801
29200642.161945,0.99729997,-0.0612032
29300645.506539,0.99725497,-0.061273679
29400648.851132,0.99741381,-0.061550118
29500652.195726,0.99738657,-0.061738588
29600655.540319,0.99735922,-0.061891358
29700658.884913,0.99733287,-0.062129665
29800662.229506,0.99720979,-0.062484112
29900665.574099,0.99732184,-0.062724553
30000668.918693,0.99727821,-0.062785216
30100672.263286,0.99734688,-0.063049585
30200675.60788,0.99712199,-0.063159697
30300678.952473,0.99725324,-0.063414618
30400682.297067,0.99727076,-0.063684113
30500685.64166,0.9972136,-0.063722327
30600688.986254,0.9971832,-0.064025812
30700692.330847,0.99727285,-0.064241327
30800695.675441,0.99733847,-0.064332403
30900699.020034,0.99726123,-0.064606734
31000702.364628,0.99723732,-0.064801641
31100705.709221,0.99725527,-0.064905763
31200709.053815,0.99710929,-0.065094516
31300712.398408,0.99708092,-0.065525942
31400715.743001,0.99713308,-0.065667659
31500719.087595,0.99712992,-0.065739781
31600722.432188,0.99718428,-0.066058829
31700725.776782,0.99702609,-0.066225342
31800729.121375,0.99711442,-0.06637805
31900732.465969,0.99710715,-0.066640221
32000735.810562,0.99696946,-0.066853873
32100739.155156,0.99689448,-0.066928707
32200742.499749,0.99708909,-0.067271188
32300745.844343,0.99689543,-0.06734883
32400749.188936,0.99699056,-0.067565389
32500752.53353,0.9970448,-0.067827322
32600755.878123,0.99686193,-0.068122886
32700759.222716,0.99685347,-0.068280824
32800762.56731,0.99683517,-0.06836012
32900765.911903,0.99682975,-0.068624057
33000769.256497,0.99689281,-0.068777353
33100772.60109,0.99690819,-0.069071069
33200775.945684,0.99677849,-0.069253825
33300779.290277,0.99680257,-0.069449045
33400782.634871,0.99688065,-0.069725923
33500785.979464,0.99673682,-0.069901019
33600789.324058,0.99677968,-0.070083097
33700792.668651,0.99671382,-0.070344031
33800796.013245,0.99677628,-0.070410118
33900799.357838,0.99665719,-0.070711918
34000802.702432,0.99672645,-0.070803344
34100806.047025,0.99658674,-0.070977964
34200809.391618,0.99656045,-0.071183212
34300812.736212,0.99655271,-0.071481325
34400816.080805,0.99665684,-0.071711846
34500819.425399,0.99658883,-0.071955666
34600822.769992,0.99666911,-0.072072409
34700826.114586,0.99658394,-0.072265878
34800829.459179,0.99652255,-0.072532132
34900832.803773,0.99644047,-0.072616294
35000836.148366,0.99647874,-0.072870202
35100839.49296,0.99650395,-0.073045522
35200842.837553,0.99650502,-0.073217474
35300846.182147,0.99649465,-0.073459782
35400849.52674,0.99646056,-0.073600642
35500852.871333,0.99645972,-0.073822439
35600856.215927,0.99644935,-0.07414639
35700859.56052,0.99652088,-0.074308738
35800862.905114,0.99644357,-0.074499756
35900866.249707,0.99641818,-0.074776173
36000869.594301,0.99642462,-0.074916996
36100872.938894,0.99648339,-0.075131617
36200876.283488,0.99624467,-0.075324014
36300879.628081,0.99616116,-0.07565815
36400882.972675,0.99626398,-0.075632297
36500886.317268,0.99636835,-0.075908609
36600889.661862,0.99632567,-0.076203838
36700893.006455,0.99621195,-0.076240525
36800896.351049,0.99630153,-0.076501511
36900899.695642,0.9962576,-0.076712735
37000903.040235,0.99635136,-0.076999798
37100906.384829,0.99615604,-0.077034622
37200909.729422,0.99619639,-0.077266335
37300913.074016,0.99613184,-0.077512987
37400916.418609,0.99626136,-0.077723145
37500919.763203,0.99609441,-0.077955671
37600923.107796,0.996113,-0.07816489
37700926.45239,0.99619007,-0.078366287
37800929.796983,0.99616349,-0.078505069
37900933.141577,0.99624211,-0.078793176
38000936.48617,0.99609572,-0.079033449
38100939.830764,0.99621868,-0.079171911
38200943.175357,0.99606752,-0.079342879
38300946.51995,0.99607146,-0.079617389
38400949.864544,0.99602669,-0.079794936
38500953.209137,0.99605572,-0.079900376
38600956.553731,0.99599928,-0.08021304
38700959.898324,0.99610418,-0.080436133
38800963.242918,0.99604368,-0.080600381
38900966.587511,0.99590784,-0.080838084
39000969.932105,0.99607486,-0.080942288
39100973.276698,0.9959836,-0.08121331
39200976.621292,0.99591964,-0.081448235
39300979.965885,0.99583817,-0.081617951
39400983.310479,0.99588305,-0.081839785
39500986.655072,0.99580383,-0.082004033
39600989.999666,0.99580175,-0.082323745
39700993.344259,0.99583018,-0.082448833
39800996.688852,0.99571574,-0.082572252
39901000.033446,0.99581093,-0.082761176
40001003.378039,0.9957794,-0.083009295
40101006.722633,0.99579805,-0.083233774
40201010.067226,0.9956916,-0.083374329
40301013.41182,0.99569374,-0.083622456
40401016.756413,0.99563056,-0.08384192
40501020.101007,0.99571228,-0.083988234
40601023.4456,0.99554783,-0.084232017
40701026.790194,0.99568361,-0.084393717
40801030.134787,0.99547124,-0.084639356
40901033.479381,0.99561125,-0.084732264
41001036.823974,0.99553794,-0.084970243
41101040.168568,0.99550921,-0.085157946
41201043.513161,0.99558252,-0.085455574
41301046.857754,0.9955529,-0.085692555
41401050.202348,0.99538344,-0.085841827
41501053.546941,0.9954617,-0.08603128
41601056.891535,0.99546438,-0.08616171
41701060.236128,0.99538612,-0.086427175
41801063.580722,0.99539661,-0.086698085
41901066.925315,0.99548048,-0.086863212
42001070.269909,0.9954493,-0.087054521
42101073.614502,0.99537665,-0.087253019
42201076.959096,0.99549943,-0.087405398
42301080.303689,0.99533594,-0.087552905
42401083.648283,0.99525148,-0.087846622
42501086.992876,0.99529481,-0.088017434
42601090.337469,0.99535197,-0.088217452
42701093.682063,0.99531621,-0.088386931
42801097.026656,0.99525326,-0.088688925
42901100.37125,0.99519783,-0.088995397
43001103.715843,0.99514115,-0.089091443
43101107.060437,0.99518567,-0.089303456
43201110.40503,0.99514651,-0.089537457
43301113.749624,0.99518961,-0.089698158
43401117.094217,0.99510235,-0.089887492
43501120.438811,0.99508399,-0.090074785
43601123.783404,0.99511307,-0.090399675
43701127.127998,0.99502486,-0.090465955
43801130.472591,0.99508411,-0.090677693
43901133.817185,0.99509817,-0.090935677
44001137.161778,0.99498647,-0.091139078
44101140.506371,0.99511623,-0.091340154
44201143.850965,0.99497765,-0.091612443
44301147.195558,0.99495465,-0.091685131
44401150.540152,0.99494898,-0.091876037
44501153.884745,0.99494594,-0.09220165
44601157.229339,0.99489081,-0.092369713
44701160.573932,0.99485373,-0.092511848
44801163.918526,0.99486303,-0.09273164
44901167.263119,0.99484366,-0.092941329
45001170.607713,0.99481338,-0.093143679
45101173.952306,0.99490583,-0.093357801
45201177.2969,0.99471277,-0.093567759
45301180.641493,0.99471527,-0.093751483
45401183.986086,0.99466664,-0.093930304
45501187.33068,0.99470836,-0.094166167
45601190.675273,0.99459398,-0.094426505
45701194.019867,0.99458987,-0.094499327
45801197.36446,0.99467969,-0.094814129
45901200.709054,0.99459368,-0.094846748
46001204.053647,0.99454838,-0.095163375
46101207.398241,0.99452221,-0.095292903
46201210.742834,0.99454033,-0.09554822
46301214.087428,0.99450535,-0.095755704
46401217.432021,0.99445915,-0.095917702
46501220.776615,0.99448317,-0.096115366
46601224.121208,0.99445277,-0.096351288
46701227.465802,0.99452376,-0.096594959
46801230.810395,0.99437475,-0.096788377
46901234.154988,0.99439639,-0.097027615
47001237.499582,0.99435979,-0.097127445
47101240.844175,0.9943822,-0.097452901
47201244.188769,0.99427676,-0.097594589
47301247.533362,0.99438775,-0.097702608
47401250.877956,0.99443197,-0.097919643
47501254.222549,0.99428988,-0.098087713
47601257.567143,0.99434203,-0.098350637
