!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 16:04:43,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.90431154,-0.26786304,8.3041705e-005,1.744914e-005,1.6697664e-005,-0.0005322162,0.82844663,-0.39386219
10100003.344593,0.90233254,-0.27169541,-7.6337246e-006,0.0003793137,-1.0122984e-005,-9.642927e-005,0.82720447,-0.3960591
10200006.689187,0.90164757,-0.27583569,-0.0001390548,-7.8372832e-005,-4.7539106e-005,-0.0003623324,0.82639903,-0.39812043
10300010.03378,0.90071249,-0.27980626,9.5369571e-005,9.3602641e-005,-0.0001562001,0.0001340903,0.82518625,-0.40023434
10400013.378374,0.89866906,-0.28330004,-0.0001858887,-7.1982002e-005,6.7474102e-005,-0.000131625,0.82352602,-0.40267456
10500016.722967,0.8977989,-0.28678146,-0.0001482701,-0.0001098599,0.0003117922,0.0001583881,0.82250899,-0.40444434
10600020.067561,0.89587528,-0.29070988,-0.0002098601,0.0001807369,5.5885223e-005,0.0002394647,0.82155448,-0.40707836
10700023.412154,0.89443052,-0.29426908,9.0220434e-005,9.5949632e-005,-0.0001307416,-0.0001140669,0.81970018,-0.40858704
10800026.756748,0.89308488,-0.29777771,-0.0001306081,7.755035e-005,-0.0001599432,-0.0001444172,0.81861961,-0.41107452
10900030.101341,0.89145893,-0.30173242,-4.4200049e-005,1.9222984e-005,-0.0001197186,7.1681352e-005,0.81802964,-0.41291943
11000033.445935,0.88934928,-0.30538622,-1.815639e-005,-2.3096653e-005,-0.0002670497,-9.5213974e-005,0.81654757,-0.41520175
11100036.790528,0.88774925,-0.30903897,-0.0001087135,-1.2682847e-005,-4.1953375e-005,2.8506134e-005,0.81546879,-0.41742802
11200040.135122,0.886356,-0.31226757,-1.547273e-005,-8.6686392e-005,-0.0001350966,0.0001993002,0.81440759,-0.41943204
11300043.479715,0.88461006,-0.31619078,-6.7436027e-005,-3.7290909e-005,0.0003019164,0.000201843,0.81294829,-0.42144513
11400046.824309,0.88323539,-0.31950268,6.836134e-005,6.689805e-005,-3.0018875e-005,0.0002843191,0.81171471,-0.42363796
11500050.168902,0.88124526,-0.32270408,7.8078978e-005,0.0001034017,0.0001220229,0.0002165083,0.81111276,-0.42568958
11600053.513495,0.8796981,-0.32660294,4.568214e-005,-0.0001439423,-1.6929216e-005,-2.2855053e-005,0.80937606,-0.42771801
11700056.858089,0.87822276,-0.3303327,0.0001174296,-0.0001242441,-0.0002357867,5.9198646e-005,0.80804038,-0.43007392
11800060.202682,0.8761788,-0.33390903,6.2204599e-005,-8.6598877e-005,-9.3960851e-005,-8.3916268e-005,0.80670351,-0.43228149
11900063.547276,0.87445009,-0.33705547,0.0001505953,-5.0155239e-005,0.0002242358,-4.1770138e-005,0.80566764,-0.43442217
12000066.891869,0.87276423,-0.34083539,5.8771522e-005,-0.0001928446,-1.0800291e-005,-0.0002126828,0.80429476,-0.43604577
12100070.236463,0.87129545,-0.34399945,0.0001489613,6.3624306e-005,0.0001000513,9.8974095e-005,0.8032369,-0.43837854
12200073.581056,0.86903387,-0.34760606,1.7602677e-005,2.008853e-005,-0.0001414697,-0.0002281992,0.802481,-0.44022655
12300076.92565,0.86746925,-0.35117647,-8.5655921e-007,-4.7972597e-005,8.2630129e-007,0.0001295185,0.80088174,-0.44223991
