!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 16:21:27,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.93966711,0.019966332,-0.025893837,0.033949319,-0.089971334,0.027778322,0.97283137,0.0097889537
10100003.344593,0.99402684,-0.045427635,0.013957456,-0.037859138,-0.0022194502,0.032559734,0.9991619,-0.049638379
10200006.689187,0.99244887,0.081131831,-0.036871575,-0.020807182,0.020166252,0.016117437,0.95545787,-0.012786114
10300010.03378,1.0231185,-0.036887515,0.003514349,0.015384212,0.001341772,0.0016110061,1.0482032,-0.060780063
10400013.378374,1.0018547,-0.058958076,-0.052469309,-0.01082632,-0.035040502,0.066046573,0.95220363,0.027044335
10500016.722967,1.0008276,-0.03953005,-0.03726849,0.0098659266,0.049381528,-0.05011424,0.96864295,-0.054585077
10600020.067561,1.0021784,-0.033474285,0.040693007,0.014034318,-0.033831615,0.017408926,1.0168118,-0.040965412
10700023.412154,1.0360523,-0.056407072,-0.012222811,-0.0077396808,0.0045070606,-0.014209784,1.0471153,-0.063599482
10800026.756748,1.0145718,-0.0083915861,-0.024634974,-0.016988738,-0.033046778,-0.054685634,0.94545418,-0.034263868
10900030.101341,1.0403962,-0.050451286,0.024779659,0.023197968,0.024719425,-0.0071791578,0.97028822,-0.063059628
11000033.445935,0.94646472,-0.028436799,0.0054261661,0.0082422104,0.079012603,0.011222564,0.96678352,-0.10372707
11100036.790528,0.97157431,-0.062502988,0.02043885,-0.0069172834,-0.046608258,-0.05506935,0.94291365,-0.041877314
11200040.135122,1.0298047,-0.060976721,0.03164291,0.0076137837,0.031384248,-0.0012568221,0.97593933,0.012152064
11300043.479715,1.0077945,-0.095818736,-0.05874623,-0.0028533726,-0.026525011,0.0113398,0.99485892,-0.05485227
11400046.824309,0.95887333,-0.029357294,0.028268144,0.015037607,-0.031032704,-0.0048914282,0.98383451,0.0048306356
11500050.168902,0.98342729,-0.0072962181,0.0098087406,0.015325875,0.05612262,-0.0099774906,0.95093942,-0.037612617
11600053.513495,0.9692319,-0.0038130244,0.0070018047,-0.030507304,0.057046451,0.041281104,0.94311452,-0.006781219
11700056.858089,0.97162032,-0.036888886,0.034369405,-0.0038635973,-0.017639477,0.0002848852,1.0293368,-0.077881493
11800060.202682,0.92438,0.020675279,-0.026690576,-0.021752616,-0.011176359,-0.025316222,0.98073727,-0.018334605
11900063.547276,0.96427488,-0.061188865,0.037088152,0.015359073,-0.0070246565,-0.010857596,1.0644592,-0.0005294201
12000066.891869,1.0642543,-0.049558707,-0.040635668,0.019914962,0.0007516517,0.042674549,0.9642781,-0.071254574
12100070.236463,1.0172751,-0.08869075,-0.023276875,0.011213918,0.018894691,0.046355307,0.98665458,-0.018181276
12200073.581056,1.0662227,-0.030331736,-0.03519991,0.01591271,-0.027873542,-0.0064729983,1.0303023,-0.038083978
12300076.92565,0.96061242,-0.026348842,-0.049166597,-0.016449114,0.0020606415,0.032460246,0.9398042,-0.011655507
12400080.270243,1.0112143,0.0064063193,0.018765058,-0.0036177773,0.022134215,-0.033272862,0.98398542,-0.05416172
12500083.614837,1.0200691,-0.084028699,0.014890392,0.017602209,-0.031356178,0.03154128,1.012121,0.011396909
12600086.95943,0.95128459,-0.038528014,-0.005816719,-0.030131053,0.012174204,0.010788557,1.0288349,-0.053577289
12700090.304024,0.96568179,-0.028323974,-0.012447284,-0.029513752,-0.0017527913,-0.043831509,1.0259581,-0.060296789
12800093.648617,1.0749944,-0.1236249,-0.0052335854,0.019386625,-0.012509285,-0.0028549847,1.0120807,-0.038205151
12900096.99321,1.0419632,-0.05246868,-0.017232994,0.0087114312,0.04344539,-0.008424636,1.0180774,-0.022012616
13000100.337804,1.0148441,-0.0095680878,-0.0076618628,-0.0022031001,0.0097001269,-8.3858822e-006,0.96205568,0.027005998
13100103.682397,0.97475559,-0.01492078,-0.0075042821,0.0054594544,0.0062945746,-0.0019739016,0.97654337,-0.099180728
13200107.026991,1.0111135,-0.05135306,-0.012918958,-0.01138432,0.005843637,-0.049473893,1.0051374,-0.017159743
13300110.371584,1.0023863,-0.0066194464,-0.0099883927,-0.02615539,-0.039074387,-0.018018918,0.93179172,-0.040116478
