!CSV,A.01.01,,,,,,,
!Agilent,Technologies,N5227A,US51270345,A.09.80.20,,,,
!Agilent,N5227A:,A.09.80.20,,,,,,
!Date:,Monday,,November,26,,2018,16:15:49,
!Source:,Standard,,,,,,,
!,,,,,,,,
!BEGIN,CH1_DATA,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,1.003901,-0.074784465,0.0010828137,0.0072626472,-2.0745451,0.71396863,0.75926942,0.0023984627
10100003.344593,0.97223341,-0.034181848,0.0006620464,-0.0058914693,-2.2432811,0.83968401,0.83748549,-0.001347507
10200006.689187,0.93509895,-0.1272326,-0.0005272494,0.003912352,-1.9432518,0.98168075,0.8027184,-0.046803895
10300010.03378,0.93347025,-0.033033736,-0.022337789,-0.052710578,-1.920087,0.86686456,0.85313237,-0.14889675
10400013.378374,1.0240301,0.062442604,0.014993728,0.050624348,-1.8741686,0.99236482,0.81343991,-0.065406993
10500016.722967,0.95029598,-0.0095806709,0.0014062136,-0.0094189532,-1.9840139,0.89190817,0.69393075,-0.034198407
10600020.067561,0.95918834,-0.0288473,-0.043709274,0.015265656,-1.7468201,0.97039312,0.74178195,-0.056945723
10700023.412154,0.83896035,-0.026256545,-0.021667395,0.021974085,-1.7243934,1.1255182,0.79546165,-0.072317272
10800026.756748,0.95268476,0.023388807,-0.021750201,0.026216771,-1.8316019,1.0273672,0.78523868,-0.079577006
10900030.101341,0.96440786,-0.038905613,0.0028299782,-0.0074713402,-1.7185818,0.97096461,0.75850856,-0.10778722
11000033.445935,0.89296579,-0.098523811,-0.019460991,0.017599877,-1.8242109,1.0102341,0.7769956,-0.061311692
11100036.790528,0.94865519,-0.026290081,0.017713599,-0.013898125,-1.7768683,1.1133372,0.79993224,-0.12753306
11200040.135122,0.95270467,0.025774017,0.0090069883,0.03431977,-1.750289,0.96444774,0.77560622,-0.046324093
11300043.479715,0.91142768,-0.060005907,0.0017285685,0.022825055,-1.6640096,1.1847645,0.75917637,-0.13494156
11400046.824309,1.0144864,-0.062440764,-0.036607295,0.01735118,-1.887678,0.77281564,0.7830447,-0.13110006
11500050.168902,0.99622416,-0.053204101,-0.046745781,-0.017491726,-1.7252582,0.99102998,0.64844841,-0.074533679
11600053.513495,0.90757424,-0.059854861,-0.016188836,0.0081900675,-1.9880328,0.95607889,0.7417866,-0.12219752
11700056.858089,0.93807501,-0.055209834,0.014502549,-0.019740764,-1.9695877,0.67951202,0.73141611,-0.067196861
11800060.202682,0.87600005,-0.029711954,0.038537901,0.0075224042,-2.0978496,0.84299093,0.68964392,-0.19574708
11900063.547276,0.94243133,-0.050676838,-0.007463037,-0.025093781,-2.1516395,0.83557546,0.70142078,-0.17926757
12000066.891869,0.90310985,-0.1173645,0.035905361,-0.012020673,-2.2802408,0.76524591,0.76844537,-0.12298942
12100070.236463,0.91439402,-0.0058236071,0.0054799332,0.0002558877,-2.2317657,0.72569197,0.72537249,-0.097198389
12200073.581056,0.90670651,-0.068721265,0.020805595,0.015422596,-2.2339635,0.81485623,0.72831923,-0.10861386
12300076.92565,0.95791197,-0.038837425,0.01183189,-0.029085914,-2.0480883,0.77583587,0.67005414,-0.095531687
12400080.270243,0.9568758,-0.054629449,0.011372205,0.049708135,-2.2469954,0.80843163,0.71170276,-0.19973177
12500083.614837,0.90158188,-0.065359496,0.01787973,-0.022420038,-2.0992866,0.98351043,0.72125852,-0.11938944
12600086.95943,0.91778976,-0.050637666,-0.029190587,-0.0037373079,-2.0627341,0.95625925,0.67666519,-0.12522432
12700090.304024,0.89105135,-0.041275371,0.0040635327,0.011804256,-2.0853724,1.023412,0.70766693,-0.13404357
12800093.648617,0.9325192,-0.048365418,-0.010113489,-0.011958986,-1.9092331,1.099962,0.60273719,-0.099361762
12900096.99321,0.91305608,-0.035092127,-0.028339433,-0.012927828,-1.9798347,1.1690953,0.5914402,-0.05992895
13000100.337804,0.95373207,0.010816236,-0.016722856,0.030948881,-1.7408206,1.0068567,0.51095432,0.019717449
13100103.682397,0.90858263,-0.0066547198,-0.028503859,0.0093844226,-1.801286,0.96159667,0.60276151,0.11162256
13200107.026991,0.92583501,-0.09820056,0.029703012,0.01068652,-1.793926,1.1920216,0.73675185,0.049729113
13300110.371584,0.94792104,-0.065597177,-0.000768498,0.041799992,-1.8277601,1.061885,0.83123815,-0.050520565
13400113.716178,0.97730243,-0.099272214,-0.015856434,0.030558098,-1.6978799,1.1175315,0.80367351,-0.071342781
13500117.060771,0.94938093,-0.099649496,0.010265069,0.016241871,-1.7031958,1.1105022,0.74730235,-0.11319593
13600120.405365,0.86915594,-0.096849605,-0.0032683567,-0.0099980542,-1.5183212,1.2092046,0.74664843,-0.08630491
13700123.749958,0.93437374,-0.092068858,-0.0090226065,0.016977841,-1.5441731,1.1180699,0.78172499,-0.061358362
13800127.094552,0.96045762,-0.072990216,0.026522117,0.0074792127,-1.7256575,1.1882939,0.74072689,-0.094554126
13900130.439145,0.93000209,-0.011818525,-0.012083568,0.039566848,-1.5203748,1.1741511,0.70597458,-0.12048119
14000133.783739,0.94952482,-0.085023686,-0.0063937805,-0.0070419912,-1.5244408,1.185547,0.73151207,-0.15544488
14100137.128332,0.9272688,-0.062351972,0.017823759,-0.025742937,-1.4880378,1.0980375,0.80177873,-0.17378704
14200140.472926,0.90982425,-0.088737659,-0.0028190357,-0.022830222,-1.5007147,1.1265047,0.75102156,-0.12948748
14300143.817519,0.96245587,-0.10330352,0.047518589,-0.035966121,-1.4286046,1.2406387,0.72229582,-0.084996007
14400147.162112,0.93803138,-0.092042625,-0.0002078791,-0.023650583,-1.541382,1.1652849,0.71775752,-0.10478365
14500150.506706,0.92818338,-0.035720848,-0.010439685,0.031129081,-1.5732332,1.2175925,0.75647724,-0.058884911
14600153.851299,0.99312949,-0.085651144,0.0074874391,-0.033744849,-1.5620314,1.1533651,0.69685477,-0.12448359
14700157.195893,0.92281622,-0.091203399,-0.0088982778,-0.0095178438,-1.5889624,1.2200092,0.70401675,-0.065109208
14800160.540486,0.96319604,-0.13237907,-0.017255537,0.022078145,-1.5904499,1.0594641,0.68241233,-0.084296428
14900163.88508,0.96549559,-0.056949206,0.022431256,-0.0004062227,-1.6839279,1.104552,0.71764237,-0.12129904
15000167.229673,0.96821582,-0.10401683,0.006400045,0.012808485,-1.6472455,1.0767379,0.72938544,-0.11962768
15100170.574267,0.91345072,-0.085305043,0.0066866074,-0.020313554,-1.8436884,1.0697815,0.70590866,-0.13058645
15200173.91886,0.93994462,-0.053572118,0.0089079747,0.0012443913,-1.7829511,1.0990181,0.73608696,-0.097382322
15300177.263454,0.91019148,-0.12246545,0.0072503104,-0.023226768,-1.8365024,1.138782,0.70110935,-0.13045155
15400180.608047,0.90788341,-0.082607754,0.0004320414,0.013966806,-1.7931908,1.0602187,0.73236674,-0.15042695
15500183.952641,0.93237561,-0.05972752,0.0018510271,0.038470976,-1.801523,1.1153961,0.68519986,-0.16932802
15600187.297234,0.98034859,-0.11224986,-0.005441545,0.023657884,-1.7825451,0.99266571,0.66905695,-0.14227489
15700190.641827,0.91251552,-0.095291033,0.034894027,-0.012356243,-1.6873429,1.0604228,0.66594988,-0.18966618
15800193.986421,0.96039939,-0.11751241,-0.0048392247,0.016446959,-1.7121824,1.0305988,0.69908482,-0.16380572
15900197.331014,0.95265675,-0.077143662,0.010465922,0.029350856,-1.6215688,1.1256692,0.67883885,-0.15554622
16000200.675608,0.96118104,-0.13965245,0.0042010769,-0.011880131,-1.7315233,1.1238515,0.65767735,-0.12939993
16100204.020201,0.94326401,-0.12243585,-0.0042541381,-0.008765162,-1.6205158,1.1386771,0.6637615,-0.13139971
16200207.364795,0.94188768,-0.05232054,-0.0032886334,0.0086810319,-1.5343379,1.1266662,0.62984759,-0.076849572
16300210.709388,0.9238168,-0.12917891,0.012162929,-0.001521877,-1.4725031,1.1655937,0.56670541,0.0039749979
16400214.053982,0.90634221,-0.097142607,-0.0070557934,0.012791391,-1.4781359,1.0319713,0.69798434,0.047166388
16500217.398575,0.94383055,-0.1226211,-0.010596025,-0.0030283697,-1.5153025,1.0640469,0.75592232,0.023560228
16600220.743169,0.92644405,-0.067604817,0.0076283496,0.012536536,-1.4343783,1.0732896,0.76310617,-0.029349275
16700224.087762,0.91875702,-0.12500472,-0.0014063282,-0.0057735099,-1.3819954,1.1603185,0.81059515,-0.073629685
16800227.432356,0.98618972,-0.14649811,-0.0063667996,0.015170153,-1.4982762,1.1363584,0.79337269,-0.064895079
16900230.776949,0.95441973,-0.099458553,0.003891876,0.028026704,-1.4357563,1.1864502,0.76585901,-0.13267699
17000234.121543,0.96944422,-0.16571006,-0.00701749,-0.024446962,-1.343545,1.1403608,0.77011985,-0.076740175
17100237.466136,0.96292257,-0.095799841,-0.0019266233,0.027187487,-1.346846,1.1495055,0.78549182,-0.097214505
17200240.810729,0.96274835,-0.10462555,0.0052133589,0.0043847905,-1.3611773,1.1301824,0.7461549,-0.13381547
17300244.155323,0.9344483,-0.11441538,0.013903573,-0.028823549,-1.3538275,1.1408789,0.75574976,-0.12125208
17400247.499916,0.95364773,-0.13788924,-0.011533312,-0.022458045,-1.3072236,1.1159539,0.73433459,-0.06846258
17500250.84451,0.94100595,-0.12613334,-0.019248128,0.010893127,-1.3598738,1.1349565,0.72703916,-0.14459817
17600254.189103,0.94648337,-0.12397925,0.023835627,0.0092977406,-1.2972568,1.1892841,0.75550425,-0.074244291
17700257.533697,0.94550031,-0.088686615,0.021034708,0.017535446,-1.322407,1.1620486,0.6868974,-0.12998557
17800260.87829,0.93018717,-0.11940546,-0.0006550956,-0.019797646,-1.2849977,1.1598004,0.69090891,-0.11633553
17900264.222884,0.95603365,-0.094750486,-0.0072022825,-0.018847972,-1.3166685,1.1356502,0.70688963,-0.13637197
18000267.567477,0.98355103,-0.1381612,-0.011878639,0.0093758423,-1.2899303,1.151436,0.7645539,-0.17698099
18100270.912071,0.95364362,-0.11398876,-1.7497783e-005,-0.0049584792,-1.3058575,1.1313627,0.69170773,-0.18410951
18200274.256664,0.98495638,-0.14833316,-0.009429561,0.015122846,-1.2569717,1.0700603,0.727166,-0.16679965
18300277.601258,0.93014956,-0.13391563,-0.0075019244,-0.0009860448,-1.3900337,1.1065761,0.75416875,-0.13804843
18400280.945851,0.97180098,-0.13499925,-0.0019296592,-0.0084300805,-1.3113737,1.0459195,0.71274781,-0.10898933
18500284.290444,0.94050503,-0.16258708,0.0068073706,0.0022792399,-1.3203189,1.0953218,0.71855658,-0.1073636
18600287.635038,0.92983735,-0.12875666,0.013690535,-0.0050611915,-1.3281747,1.1462775,0.70280766,-0.14468244
18700290.979631,0.93642056,-0.15272138,-0.010039617,0.028595684,-1.3494275,1.0965958,0.68825144,-0.09062843
18800294.324225,0.9799518,-0.12857214,-0.0086655533,0.012513478,-1.3980831,1.0807525,0.71348298,-0.11531278
18900297.668818,0.92403901,-0.11733299,0.010178877,-0.000759495,-1.4182421,1.1075326,0.69328868,-0.14232391
19000301.013412,0.93476629,-0.12636653,0.0054316409,0.0052823373,-1.3551544,1.1264941,0.71186286,-0.11547733
19100304.358005,0.95382982,-0.11998677,0.015181737,0.0049473117,-1.3955803,1.1441114,0.70794892,-0.14112361
19200307.702599,0.94499481,-0.13834067,-0.0077350447,-0.0086525464,-1.340577,1.1031787,0.71899658,-0.17305969
19300311.047192,0.94857091,-0.11379537,0.0018401179,-0.0065760892,-1.3588203,1.136235,0.66195118,-0.14909561
19400314.391786,0.94630313,-0.12859522,-0.00304532,0.01013464,-1.3386147,1.0950124,0.66482443,-0.11999916
19500317.736379,0.94872922,-0.12369493,0.0020874012,-0.0060765464,-1.2973864,1.1185859,0.68441546,-0.10208128
19600321.080973,0.98952997,-0.13529105,0.010646603,0.020200213,-1.2953304,1.1205595,0.68973887,-0.097061075
19700324.425566,0.9771775,-0.14804298,-0.013884218,0.0022802737,-1.2727742,1.105417,0.70039988,-0.086280502
19800327.77016,0.93797725,-0.12718898,0.0087161828,0.013959284,-1.270869,1.1127646,0.71756941,-0.090271808
19900331.114753,0.9528628,-0.1518978,0.0050593093,-0.0099781137,-1.2686011,1.1045839,0.78252906,-0.085825115
20000334.459346,0.91475892,-0.13469376,0.028804682,0.016308449,-1.1815597,1.1435527,0.74636137,-0.10160951
20100337.80394,0.97230268,-0.16917692,-0.009375154,-0.019438084,-1.2427899,1.1294516,0.73400521,-0.14326069
20200341.148533,0.94438726,-0.12435108,-0.0020974092,0.012396142,-1.2297039,1.0789226,0.73073715,-0.11844988
20300344.493127,0.93349761,-0.14081918,0.010408814,-0.0027862729,-1.1850588,1.1049635,0.75368798,-0.10327235
20400347.83772,0.9276157,-0.12721314,0.0079360176,0.017488936,-1.1786109,1.0621986,0.76185006,-0.1021351
20500351.182314,0.96317339,-0.14247362,0.0018445567,-0.0062052379,-1.1648476,1.1038295,0.73277617,-0.17301257
20600354.526907,0.94857258,-0.14827292,-0.0048031025,0.0095528243,-1.1772691,1.0809126,0.71399575,-0.14783482
20700357.871501,0.94583744,-0.14386471,-0.0013265423,-0.0013536945,-1.1314574,1.1097839,0.74243891,-0.17009626
20800361.216094,0.94275331,-0.13432649,-0.0065212576,-0.022877421,-1.2027895,1.0953981,0.69760168,-0.11432023
20900364.560688,0.93835551,-0.14450227,-0.0074866363,-0.004058178,-1.1276703,1.0812098,0.75080317,-0.148214
21000367.905281,0.96798956,-0.14920625,0.0045451513,-0.0005445912,-1.1852601,1.0433413,0.71305662,-0.11596426
21100371.249875,0.95799726,-0.16615702,0.011284783,-0.0019784691,-1.1658764,1.0505748,0.69966549,-0.12416617
21200374.594468,0.94684392,-0.1584163,-0.006394261,0.0056738309,-1.133446,1.0592011,0.77769166,-0.10455856
21300377.939062,0.9434666,-0.12964575,0.016845211,0.019757006,-1.1023803,1.0512079,0.75567347,-0.15545796
21400381.283655,0.96368665,-0.13765188,0.021949969,0.0073898826,-1.1268719,1.0402752,0.72967666,-0.14993246
21500384.628248,0.93834239,-0.13917112,0.0013041254,0.017345324,-1.1285629,1.0922276,0.72126365,-0.11884421
21600387.972842,0.94799536,-0.16545515,0.0021606795,-0.014087912,-1.1266022,1.0704355,0.71663833,-0.14038895
21700391.317435,0.94856459,-0.14456719,-0.029634191,0.0066099744,-1.1398343,1.0171932,0.7062211,-0.14559883
21800394.662029,0.95617783,-0.16798052,0.017307524,0.0019642599,-1.0964257,1.0290567,0.68318737,-0.15616912
21900398.006622,0.9413833,-0.16395077,-0.0099691674,0.006344601,-1.1653283,1.0719985,0.70254773,-0.19669054
22000401.351216,0.93285692,-0.12691298,-0.015141333,0.0032983692,-1.0910509,1.0075908,0.70308185,-0.1484731
22100404.695809,0.93669814,-0.16950007,0.0050365375,0.0009086176,-1.1505522,1.0478857,0.71229833,-0.2074049
22200408.040403,0.98493755,-0.16029824,0.017016651,0.0018328844,-1.1313587,1.0642346,0.7058571,-0.16210815
22300411.384996,0.96611536,-0.15319641,0.0068074577,0.009791933,-1.1250889,1.0235099,0.71054214,-0.16080916
22400414.72959,0.91282868,-0.15920189,-0.0009992741,0.0074270363,-1.0598469,1.0435126,0.71477503,-0.13995467
22500418.074183,0.93307501,-0.17970027,0.015784927,0.011402484,-1.1206142,1.0204365,0.6945098,-0.13916938
22600421.418777,0.96331722,-0.18151601,0.0035422218,-0.0068385075,-1.131386,1.0511729,0.68735993,-0.1483576
22700424.76337,0.95631516,-0.16770883,-0.0033884593,-0.0032135809,-1.1160917,1.0287811,0.68980139,-0.1167568
22800428.107963,0.94354755,-0.16173853,-0.0085883802,-0.0069261161,-1.0807154,1.0341285,0.6691978,-0.117046
22900431.452557,0.92784911,-0.14293112,-0.020132495,0.0005526422,-1.1111015,1.0015059,0.75028181,-0.15060964
23000434.79715,0.94496369,-0.14244196,-0.0040845866,-0.0054676952,-1.0970126,1.0165064,0.73047543,-0.12435804
23100438.141744,0.92989677,-0.1650086,0.0065565868,0.011781739,-1.1203055,1.0201063,0.74160349,-0.13506891
23200441.486337,0.93736511,-0.16558842,0.0040944447,-0.014147021,-1.1451671,0.99945188,0.72565341,-0.1202471
23300444.830931,0.96179652,-0.17356613,0.003380588,0.009336222,-1.0953312,1.0114945,0.71073711,-0.12260973
23400448.175524,0.96169662,-0.18645877,-0.023934586,0.0023399941,-1.0671339,1.0142562,0.72007841,-0.1446145
23500451.520118,0.95508432,-0.17991418,-0.010305404,0.011425166,-1.0918148,0.98393214,0.72690177,-0.15979996
23600454.864711,0.93893856,-0.14148095,-0.015811849,-0.0055577289,-1.0990561,1.008998,0.71692204,-0.11687413
23700458.209305,0.93529779,-0.18941551,-0.013493644,0.0058812485,-1.0940896,0.99381524,0.77083933,-0.138303
23800461.553898,0.9310146,-0.14355758,0.0034350574,0.004187353,-1.1116157,0.95038038,0.73038548,-0.1409433
23900464.898492,0.96268916,-0.16827826,0.0070433281,0.015858633,-1.0688269,1.0091606,0.73492688,-0.15490532
24000468.243085,0.95151228,-0.18885708,-0.002022743,0.015637903,-1.1076368,0.99539065,0.71566159,-0.13483228
24100471.587679,0.91770327,-0.17413813,-0.011644278,0.0005429013,-1.0869321,1.0011863,0.7038306,-0.16624521
24200474.932272,0.93587524,-0.1828758,0.0006906375,0.0004909809,-1.1046821,0.97788841,0.725842,-0.18310459
24300478.276865,0.93634993,-0.17181133,-0.012342845,0.0064871148,-1.0819274,0.96018118,0.72986442,-0.18069659
24400481.621459,0.95571488,-0.16481091,-0.006489404,-0.0013744893,-1.1161761,0.97736639,0.7067315,-0.16254149
24500484.966052,0.95782721,-0.17041554,-0.003720155,-0.0036717821,-1.0745933,0.96959537,0.70433992,-0.16214611
24600488.310646,0.93103522,-0.19497447,0.0013896666,0.011541588,-1.0220715,0.93468761,0.72810245,-0.13792293
24700491.655239,0.91145414,-0.19327518,-0.012596185,-0.0011513977,-1.0627269,0.94812244,0.72196108,-0.17469585
24800494.999833,0.93194216,-0.17715664,-0.011165484,0.0079050194,-1.0686798,0.99318439,0.72083741,-0.18484905
24900498.344426,0.94807148,-0.17679557,-0.0084140571,0.0038799588,-1.0331743,0.96218252,0.72241676,-0.17093585
25000501.68902,0.93593305,-0.17759222,-0.0086876657,0.0044297907,-1.0632615,0.96008795,0.70861787,-0.14820804
25100505.033613,0.97345871,-0.19913127,0.011509488,0.0055504898,-1.0908397,0.96337169,0.71768373,-0.17969467
25200508.378207,0.93692374,-0.18853875,0.0020900341,0.0059973774,-1.0572603,0.93878597,0.69913387,-0.17194344
25300511.7228,0.93795723,-0.17505161,-0.0085437261,0.010739865,-1.051392,0.89314145,0.73392916,-0.16834821
25400515.067394,0.93515903,-0.18968929,-0.013153398,-0.0007273638,-1.0444511,0.92111361,0.71071988,-0.15880226
25500518.411987,0.94152176,-0.19465141,0.0009545917,0.0024437648,-1.0609418,0.9229185,0.714127,-0.18823519
25600521.75658,0.94178301,-0.18477163,0.0093550198,-0.012896573,-1.0953302,0.95374537,0.68391818,-0.16994508
25700525.101174,0.9437263,-0.19563179,-0.010661131,0.0026916419,-1.0574638,0.91664916,0.72668654,-0.16624367
25800528.445767,0.94124866,-0.20438027,-0.0052885786,0.0046129087,-1.1005208,0.93965906,0.68504643,-0.17153861
25900531.790361,0.94890827,-0.19452886,0.0068313535,0.0073688151,-1.0850157,0.91299057,0.71633542,-0.1729372
26000535.134954,0.933981,-0.21007434,0.0089105032,0.0012197493,-1.1023997,0.87183803,0.66788501,-0.16843919
26100538.479548,0.94449216,-0.16665027,0.0047466001,-0.002957185,-1.0838323,0.9254691,0.67915469,-0.15361764
26200541.824141,0.9498803,-0.2134499,-0.018405858,-0.01159473,-1.0946976,0.88958097,0.69878972,-0.17311291
26300545.168735,0.95018953,-0.20766164,-0.018396642,0.0067514484,-1.0968914,0.89134276,0.68282634,-0.16625626
26400548.513328,0.93029302,-0.18207233,-0.0014964746,-0.0022186385,-1.0836358,0.89343488,0.67677516,-0.18500181
26500551.857922,0.94696558,-0.19900253,0.0028640926,-0.0067483722,-1.071475,0.88842922,0.70668679,-0.16317755
26600555.202515,0.94720173,-0.18438792,0.0076905475,0.0078552766,-1.0935527,0.91391683,0.71308249,-0.17284168
26700558.547109,0.94341385,-0.1867858,-0.0014823981,-0.004542124,-1.0987409,0.89847612,0.7213015,-0.17289224
26800561.891702,0.92596769,-0.19676383,-0.004583186,-0.0038180607,-1.1070572,0.90534437,0.74322337,-0.1695403
26900565.236296,0.94308478,-0.21202238,0.0057702884,0.0089169759,-1.1026218,0.88575411,0.73816735,-0.17756563
27000568.580889,0.9305371,-0.20467651,-0.011677552,-0.0039240001,-1.0797347,0.94196773,0.71034712,-0.16504008
27100571.925482,0.95207596,-0.1831698,-0.0025131442,0.0040780227,-1.0729194,0.91678506,0.73116964,-0.17710328
27200575.270076,0.94821554,-0.21060777,0.0035415881,-0.0057121515,-1.0803233,0.89875954,0.72137219,-0.19036819
27300578.614669,0.93743551,-0.21166916,0.0031571351,0.012599422,-1.0958679,0.90557086,0.73123533,-0.16701445
27400581.959263,0.92781878,-0.19630553,0.0052549117,0.0018456284,-1.0847435,0.86040699,0.7060796,-0.18752989
27500585.303856,0.9497354,-0.21261863,0.0006815712,-0.0016127381,-1.0599538,0.88923341,0.7255969,-0.19897084
27600588.64845,0.93922526,-0.19600001,-0.018629581,0.015897261,-1.1106542,0.9151265,0.72718197,-0.1815207
27700591.993043,0.94714141,-0.18468298,0.0074034622,0.0050292457,-1.0889815,0.90019739,0.72221005,-0.19146328
27800595.337637,0.92020637,-0.19811891,-0.0013577852,0.0001925801,-1.1119238,0.87085718,0.7162655,-0.18434969
27900598.68223,0.92829382,-0.1950084,-0.005150856,-0.015286957,-1.1060002,0.87894809,0.71969914,-0.18606132
28000602.026824,0.93726891,-0.20275885,-0.0057252273,-0.0019484883,-1.0666777,0.90688306,0.70919335,-0.16467376
28100605.371417,0.92918676,-0.19530787,-0.0014461575,-0.0040812329,-1.0951046,0.87517363,0.7256127,-0.22410911
28200608.716011,0.93763268,-0.19658725,0.0026967104,0.012705865,-1.0964345,0.84082735,0.69774145,-0.17983063
28300612.060604,0.93041396,-0.22092284,0.00217579,0.010290297,-1.0837095,0.84916252,0.7400316,-0.2151019
28400615.405197,0.93240178,-0.21532845,-0.0008742357,0.0035162463,-1.1026096,0.90707815,0.73330331,-0.18423854
28500618.749791,0.93464828,-0.20457092,-0.0012899134,0.0068622488,-1.1103939,0.86175019,0.7135151,-0.18192755
28600622.094384,0.93281901,-0.21327995,-0.0039330358,0.0036465314,-1.0975934,0.89183325,0.69719899,-0.19230317
28700625.438978,0.93386525,-0.22016308,0.0030006473,0.01463596,-1.1292742,0.84650499,0.72407639,-0.19349039
28800628.783571,0.94248593,-0.21504317,-0.0023171799,0.015441502,-1.084844,0.87073278,0.72048903,-0.20255741
28900632.128165,0.93365157,-0.21891227,0.0025541587,0.0082001444,-1.0747461,0.87796313,0.69625199,-0.21430852
29000635.472758,0.95285714,-0.20819035,-0.015075965,-0.0024954674,-1.1052673,0.8594768,0.71582019,-0.21507415
29100638.817352,0.93913394,-0.2286658,-0.0011643111,0.0058520334,-1.1054413,0.85751122,0.70572209,-0.20522654
29200642.161945,0.9263767,-0.21100259,0.0021886483,-0.0053546783,-1.1263962,0.80738312,0.70441705,-0.19462034
29300645.506539,0.93544745,-0.21849589,-0.004205781,0.014480628,-1.1450639,0.88113552,0.72850913,-0.19516151
29400648.851132,0.94137573,-0.21961814,-0.0062676943,0.018197171,-1.1220447,0.85620898,0.70495397,-0.18625106
29500652.195726,0.93147308,-0.2262615,0.0081980033,0.0095751295,-1.1256163,0.86449981,0.69938403,-0.18991907
29600655.540319,0.95009285,-0.221066,-0.0018626958,-0.003238406,-1.1245917,0.8172124,0.68553585,-0.21591496
29700658.884913,0.9396311,-0.21553759,-0.0011329849,-0.0016762048,-1.1211116,0.8729232,0.70561236,-0.20199594
29800662.229506,0.93258321,-0.23246641,0.0007083986,0.0062100035,-1.105467,0.86639261,0.71816999,-0.20472842
29900665.574099,0.92462391,-0.21979858,0.0087862629,0.0040917983,-1.1344939,0.83056813,0.72352964,-0.16699743
30000668.918693,0.92900234,-0.21289273,-0.0044822171,0.0040150532,-1.1477817,0.86697733,0.71637619,-0.18083812
30100672.263286,0.93167919,-0.24019223,-0.0083304876,-0.0046475669,-1.1502093,0.82226771,0.71976662,-0.20035426
30200675.60788,0.938537,-0.22716422,-0.010812826,0.0072826878,-1.1288522,0.86578482,0.71007329,-0.19732679
30300678.952473,0.92844898,-0.20579553,0.0020137657,0.014552982,-1.1279175,0.82149971,0.72731519,-0.19826251
30400682.297067,0.92702568,-0.22933514,0.0021164969,-0.0015172572,-1.1438215,0.83315992,0.72845834,-0.1783983
30500685.64166,0.91581684,-0.23515804,-0.0015351805,0.0052924836,-1.1477937,0.8615455,0.72409433,-0.21024838
30600688.986254,0.92854124,-0.24387872,-0.001524974,0.0094383853,-1.1303353,0.81617701,0.70011163,-0.22556852
30700692.330847,0.93609196,-0.22018822,-0.0022798975,0.0063838279,-1.149259,0.81120425,0.70241791,-0.20033956
30800695.675441,0.92722803,-0.22458196,0.011731241,0.00555945,-1.1223456,0.81229579,0.71152049,-0.19939394
30900699.020034,0.93316698,-0.23140703,-0.0017850987,-0.0030004904,-1.1505908,0.84027302,0.70876801,-0.21835536
31000702.364628,0.9380601,-0.21984893,0.0021114524,0.002621589,-1.142542,0.82816607,0.71992767,-0.18902498
31100705.709221,0.92743605,-0.23343706,-0.010474907,0.0028792857,-1.1372094,0.83712327,0.71888548,-0.18544304
31200709.053815,0.93714559,-0.23829289,0.0015274042,0.011841306,-1.1459068,0.80617017,0.72873962,-0.22495319
31300712.398408,0.94466519,-0.22376071,-0.0052912585,0.00102074,-1.1582701,0.75722033,0.69587845,-0.21110146
31400715.743001,0.93584561,-0.24335854,-0.0088430308,0.0020829507,-1.1397916,0.87998903,0.7171793,-0.203566
31500719.087595,0.92129081,-0.24795303,-0.0065516476,0.0020341412,-1.1341223,0.82490045,0.715352,-0.22424902
31600722.432188,0.93171513,-0.25216249,-0.0037598168,0.0094122207,-1.1437386,0.80514097,0.7107718,-0.20562629
31700725.776782,0.92586911,-0.22071587,-0.0013631826,0.0057929684,-1.1339697,0.81344849,0.70318127,-0.21134205
