!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 15:58:05,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.90865052,-0.25623599,-4.6477448e-006,8.4636784e-005,2.4917739e-005,-0.0004997279,0.83314502,-0.38582009
10100003.344593,0.90750682,-0.26018226,-0.0001366585,-0.0001181935,-0.0001307665,-7.694227e-005,0.83185297,-0.38830629
10200006.689187,0.90598458,-0.26433489,0.0001478764,-0.0001096729,0.0003882217,-0.0001510254,0.83091629,-0.39004335
10300010.03378,0.90468556,-0.26808015,0.0001771791,-0.0001107391,-0.0002066812,0.0001424944,0.82936919,-0.39311907
10400013.378374,0.90313798,-0.27156454,4.0166895e-005,0.0001336279,-8.2082654e-005,-0.00014947,0.82826853,-0.39498273
10500016.722967,0.90182537,-0.27507439,0.0001173764,1.1945757e-006,-0.0001475654,-7.9177546e-005,0.82726604,-0.39684549
10600020.067561,0.90081543,-0.27886331,-0.0001924733,7.3163254e-005,0.0001164077,7.0674658e-005,0.82608902,-0.39931291
10700023.412154,0.89971972,-0.28274071,-4.7485366e-005,0.0001046848,0.0001965199,0.0002755162,0.8247841,-0.40099606
10800026.756748,0.89836609,-0.28635958,0.0002177312,-7.5714597e-005,0.000175448,-0.0001131448,0.82416499,-0.40254453
10900030.101341,0.89683479,-0.29012021,-7.3892679e-006,3.3520013e-005,-0.0001216888,0.000161359,0.82265317,-0.40510049
11000033.445935,0.89479047,-0.29352006,1.2911754e-005,-0.0001274829,-7.7627656e-006,0.0003149848,0.8217361,-0.40705299
11100036.790528,0.89354295,-0.29698059,-1.2777044e-005,-0.0002546076,3.430773e-005,0.0001584799,0.82040924,-0.40919444
11200040.135122,0.89192736,-0.30038336,-0.0001066605,-5.4030545e-005,0.0001087372,-0.0002865847,0.81988192,-0.41123426
11300043.479715,0.89038122,-0.30331963,0.0001846301,-0.0001078489,-0.0002892999,3.1085833e-006,0.81847388,-0.41321656
11400046.824309,0.88923019,-0.3080391,-3.7599446e-005,0.0002314462,6.1352534e-005,-0.0001175376,0.81725627,-0.41558096
11500050.168902,0.8872959,-0.31119341,0.0001051624,0.0001094414,-6.4788692e-006,-0.0002141951,0.8162812,-0.41757169
11600053.513495,0.88568377,-0.31469077,0.0001605181,3.9199371e-005,0.0002970602,0.0001053057,0.81471264,-0.41898793
11700056.858089,0.88421655,-0.31794631,9.1127149e-005,-0.0001561535,0.0002475953,-0.0002792141,0.81390893,-0.42168415
11800060.202682,0.88238686,-0.32159317,-3.3599131e-006,-5.347353e-005,-0.0002012432,-2.5407608e-005,0.81281888,-0.42358986
11900063.547276,0.8809799,-0.32512286,0.0001151187,-0.0001835412,0.0002798372,2.1163503e-005,0.81159645,-0.42573202
12000066.891869,0.87890798,-0.3285324,8.0970254e-005,2.161097e-006,4.2870663e-005,0.0003177056,0.81029218,-0.42751727
12100070.236463,0.87724423,-0.33173233,5.1408579e-006,0.0001277681,0.0001170901,9.9292949e-005,0.80899709,-0.42954588
12200073.581056,0.87589264,-0.33493906,0.0001192434,0.0001629768,1.4014016e-005,5.7423851e-005,0.80829823,-0.43153739
12300076.92565,0.87373972,-0.33851743,5.4881937e-005,-0.0002192279,-2.473856e-005,3.7734691e-005,0.80714029,-0.4334181
12400080.270243,0.87196004,-0.34213585,9.9076242e-005,0.00020312,0.0001622715,9.0139234e-005,0.80600584,-0.43522617
12500083.614837,0.87014699,-0.34528679,-7.7282486e-005,0.0001466771,-7.2430223e-005,-7.2785464e-005,0.8050974,-0.43725398
12600086.95943,0.86837971,-0.34868643,-0.0001413932,0.0002621544,0.0001801347,8.1372076e-005,0.80392593,-0.4390848
12700090.304024,0.86687452,-0.35214603,-8.9514237e-005,-0.0001210715,7.65441e-005,-0.0002359824,0.80235797,-0.44105461
12800093.648617,0.86498946,-0.35556048,-9.833253e-005,-1.6049848e-005,-2.9248878e-005,0.0003270022,0.80154669,-0.44356123
12900096.99321,0.86324596,-0.35889417,-0.0001788301,-5.6099383e-005,1.901906e-005,-8.7284752e-005,0.80007452,-0.44537649
13000100.337804,0.86165601,-0.36226541,-4.3186363e-005,-0.0001069187,-8.879917e-005,4.2325621e-005,0.79868633,-0.44743618
13100103.682397,0.85986865,-0.36561605,-4.2706746e-005,0.0001644186,7.889761e-005,-0.0001513674,0.79758084,-0.44935003
13200107.026991,0.85794806,-0.36879161,0.0001112111,-6.632477e-007,0.0001122174,-7.9279154e-005,0.79618347,-0.45132187
13300110.371584,0.85622501,-0.3720471,5.3857984e-005,1.4896621e-005,-8.1945924e-005,-0.0001290664,0.79513156,-0.45321321
13400113.716178,0.85422915,-0.37536716,-0.000135696,-2.9113995e-005,6.8343492e-005,-5.5680692e-005,0.7940219,-0.4551585
13500117.060771,0.85253268,-0.37859103,1.1095036e-005,0.0001355522,-2.5338488e-005,-7.1400966e-005,0.79283625,-0.45750469
13600120.405365,0.85098505,-0.38164055,-1.1404782e-005,0.0001521373,0.00012673,-6.2669824e-005,0.79156965,-0.45935234
13700123.749958,0.84883797,-0.38517421,-3.1860236e-005,1.1162156e-005,1.6012872e-007,6.4326217e-005,0.79059899,-0.461032
13800127.094552,0.84694159,-0.38833654,0.0001844367,-1.7176637e-007,0.0001222612,-6.6328234e-005,0.78916919,-0.46310392
13900130.439145,0.84529328,-0.39152294,1.4264447e-005,-3.3058997e-005,0.0001050026,0.0001588022,0.7877993,-0.46499506
14000133.783739,0.84338993,-0.39472663,-4.1996042e-005,-3.3715456e-005,8.8657416e-006,5.9264836e-005,0.78629106,-0.46707204
14100137.128332,0.84163433,-0.39835787,-0.0001017105,1.1271155e-005,-0.0001327066,1.8293073e-005,0.78508371,-0.46919119
14200140.472926,0.83966833,-0.40130407,-0.0001275129,4.0902956e-005,3.809484e-005,0.0001442804,0.78369355,-0.47106844
14300143.817519,0.83789921,-0.40435582,-2.2487247e-006,7.7072997e-005,3.0376856e-005,-1.9257495e-005,0.78248388,-0.47314486
14400147.162112,0.83623779,-0.40745437,-5.3741333e-005,-3.3066739e-005,4.9746617e-005,3.6251888e-005,0.7810362,-0.47524828
14500150.506706,0.83434433,-0.41080642,2.9407325e-005,3.3711942e-005,1.5595286e-005,0.000181464,0.77989161,-0.47692081
14600153.851299,0.83213931,-0.41377434,-6.9867732e-005,6.6317938e-005,1.4955563e-005,3.842918e-006,0.77814674,-0.4790872
14700157.195893,0.83071077,-0.41713753,7.101502e-005,-0.0001093373,-6.7701308e-006,0.0001601778,0.77720368,-0.48111331
14800160.540486,0.82869029,-0.42019913,0.0001071475,-5.5463734e-005,4.5643279e-005,-0.0001123662,0.77560675,-0.48297805
14900163.88508,0.82654345,-0.42337334,0.0001031936,0.0001224884,2.0999163e-005,0.0002054996,0.77459556,-0.48474488
15000167.229673,0.82525498,-0.42689607,0.0002413005,0.0001018062,0.0001124419,3.6283975e-005,0.77309138,-0.48645997
15100170.574267,0.82344186,-0.42994186,1.3195994e-005,-0.0001754598,6.3070613e-005,-0.0001602687,0.77143484,-0.48839691
15200173.91886,0.82173485,-0.43304446,1.1923492e-005,9.1326729e-005,-1.1865302e-005,9.8963021e-005,0.76978028,-0.49093321
15300177.263454,0.81995976,-0.43587968,-6.5862162e-007,-1.5445191e-006,5.0474504e-005,0.0001467271,0.76844913,-0.49272206
15400180.608047,0.8177774,-0.4393138,0.0001154918,0.0001113198,8.1645645e-005,3.5093261e-005,0.76704049,-0.49463409
15500183.952641,0.81610096,-0.44227013,-1.1300192e-005,1.3984374e-005,1.1606291e-005,-5.0124785e-005,0.76519001,-0.49651197
15600187.297234,0.81447607,-0.44539031,3.2351065e-005,-4.2410138e-006,8.3995445e-005,2.7843063e-005,0.76370513,-0.49862593
15700190.641827,0.81253123,-0.44836125,4.6012156e-005,0.0001940863,-0.0001260017,1.5261507e-005,0.7623511,-0.50053924
15800193.986421,0.81073987,-0.45147589,6.0342252e-005,0.0001443515,0.0001769463,2.5141384e-005,0.76049495,-0.50262421
15900197.331014,0.80889791,-0.45421505,7.7164259e-005,1.4719935e-005,3.2021075e-005,7.8333898e-005,0.75923878,-0.50479198
16000200.675608,0.80694342,-0.45736545,-3.7489244e-005,3.0141699e-005,5.0379851e-005,4.7422767e-005,0.75728178,-0.5067752
16100204.020201,0.80511123,-0.46027267,1.6208487e-005,0.0001382903,-4.7904949e-005,0.0001232776,0.75582039,-0.50865561
16200207.364795,0.80318081,-0.4635008,5.401429e-005,0.0001151229,-1.7191071e-005,-4.3132379e-005,0.7543568,-0.51053828
16300210.709388,0.80112869,-0.46646452,9.5741445e-005,-2.284788e-005,-3.8897655e-005,0.000146561,0.75263608,-0.51252466
16400214.053982,0.79936618,-0.46945217,-0.0001341665,-3.4947803e-005,8.4826934e-005,-8.7800232e-005,0.7514109,-0.51459694
16500217.398575,0.79744655,-0.47235161,-0.0001473693,-1.9596027e-005,7.4442803e-005,-3.7779311e-005,0.7494902,-0.51668233
16600220.743169,0.79574001,-0.4753128,-4.3162097e-005,2.8314729e-005,8.334905e-006,9.8920056e-005,0.74829555,-0.51844865
16700224.087762,0.79352105,-0.47838134,-1.5389222e-005,0.0001386985,2.5804842e-005,8.1320053e-005,0.74644941,-0.52031851
16800227.432356,0.79153854,-0.48114303,-4.1365565e-005,-2.5983667e-005,5.3338375e-005,-4.4061057e-006,0.74493009,-0.5224489
16900230.776949,0.78954482,-0.48413163,0.0001127493,-7.9264886e-005,5.5958659e-005,-7.4741629e-006,0.74329448,-0.52422571
17000234.121543,0.78753752,-0.48693368,-3.3893422e-005,-2.2882652e-005,-8.0069069e-005,-3.3786408e-005,0.74192959,-0.52623934
17100237.466136,0.78570271,-0.48978803,3.2698907e-005,1.3210082e-005,-6.6327615e-005,6.6169829e-005,0.74033654,-0.52797914
17200240.810729,0.78368616,-0.49284554,0.0001165713,4.6285251e-005,3.7206297e-005,-2.2878045e-005,0.73868436,-0.52985537
17300244.155323,0.78171402,-0.49554184,-8.9382876e-005,-1.0172875e-005,6.1475454e-005,-0.0001925727,0.7369886,-0.53193641
17400247.499916,0.77961302,-0.49842522,8.3586339e-005,1.0783608e-005,6.5875647e-006,3.9869942e-006,0.73559803,-0.53382492
17500250.84451,0.77771389,-0.50116718,2.0136762e-005,3.6989681e-005,8.5549334e-005,9.3866453e-005,0.73414159,-0.53580463
17600254.189103,0.77561033,-0.50415802,-8.6377251e-005,-2.0847372e-005,0.0001165864,4.7575697e-005,0.732696,-0.53748602
17700257.533697,0.77343476,-0.50694543,3.5543249e-005,8.2747662e-005,0.0001670462,1.0500002e-005,0.73076838,-0.53946811
17800260.87829,0.77122378,-0.50979131,2.4232362e-005,-5.6521807e-005,6.9470865e-005,3.3637327e-005,0.7291798,-0.5412181
17900264.222884,0.76923656,-0.51263446,-5.268003e-006,-7.9958154e-005,-0.0001052299,0.0002037026,0.72775459,-0.543136
18000267.567477,0.76701289,-0.51539057,7.1415147e-005,3.0081346e-005,6.177467e-005,3.328497e-005,0.72620177,-0.54530406
18100270.912071,0.76503772,-0.5181936,-1.9569674e-005,7.9765414e-005,-1.9666899e-005,-2.102785e-005,0.72457147,-0.54682964
18200274.256664,0.76277643,-0.52118444,1.4672846e-005,-1.0188829e-005,5.0710423e-005,5.9541086e-005,0.72289491,-0.54865998
18300277.601258,0.76065928,-0.52368128,-5.4668766e-005,1.4463907e-005,-9.1094607e-006,6.3350584e-005,0.72143692,-0.55055922
18400280.945851,0.75858933,-0.52629274,5.742185e-005,6.0759015e-005,9.3270874e-006,-0.0001037839,0.7199145,-0.55235678
18500284.290444,0.75659168,-0.52918923,-1.8274428e-005,7.6794604e-005,-1.9119323e-006,6.5414388e-005,0.71834117,-0.55415928
18600287.635038,0.75423861,-0.53187215,-4.516308e-005,8.4974759e-005,5.0322338e-005,2.8053277e-005,0.71655464,-0.55591476
18700290.979631,0.75229502,-0.53480166,5.509879e-005,-3.7604652e-005,5.2762366e-006,0.0001781377,0.71512276,-0.55769908
18800294.324225,0.75006133,-0.53749484,1.7510263e-005,7.248039e-005,-8.8453045e-005,8.8830733e-005,0.71340573,-0.55962491
18900297.668818,0.74802893,-0.5400793,9.8703968e-005,4.2636068e-005,-2.2654114e-005,4.530872e-005,0.71181327,-0.561454
19000301.013412,0.74579406,-0.54296613,-2.0518164e-005,2.8773602e-005,-1.3451947e-005,6.4696644e-005,0.70987082,-0.56343156
19100304.358005,0.74355334,-0.54546225,-6.9550592e-006,4.9829687e-005,0.0001239483,4.8775354e-007,0.70829332,-0.56507754
19200307.702599,0.74174404,-0.54818171,-1.5655291e-005,-1.4808648e-005,-4.2702177e-007,-1.4386891e-005,0.70661008,-0.56705731
