!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:02:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(REAL),S12(IMAG)
10000000,-3.9684212e-005,2.5105624e-005
10100003.344593,-0.00011630852,-0.00018064067
10200006.689187,-4.8965172e-005,0.00020424931
10300010.03378,4.2656186e-005,0.00012388102
10400013.378374,4.7098871e-005,-0.00013044733
10500016.722967,0.00013683067,-4.7768932e-005
10600020.067561,-6.404367e-005,0.00014772193
10700023.412154,-5.0757841e-005,1.0380962e-005
10800026.756748,6.9252397e-005,-9.6902986e-005
10900030.101341,2.2514279e-005,-0.00010291005
11000033.445935,0.00010351761,-9.2112867e-005
11100036.790528,-7.2871415e-005,3.5756993e-006
11200040.135122,8.1669146e-005,3.6771926e-005
11300043.479715,-2.5870356e-006,2.2427672e-005
11400046.824309,-0.0003425761,-6.0446284e-005
11500050.168902,-0.00020951581,0.00042214623
11600053.513495,6.248607e-005,0.00010182038
11700056.858089,2.8960536e-005,-0.00025149417
11800060.202682,-5.8009868e-005,-0.00026081019
11900063.547276,5.2363899e-005,0.00012274084
12000066.891869,-9.9984551e-005,-0.0002009974
12100070.236463,-6.4285538e-005,5.8405381e-005
12200073.581056,-1.442526e-005,5.423899e-005
12300076.92565,0.00016493243,0.00015396296
12400080.270243,0.00026640826,-0.00012582701
12500083.614837,-4.0758045e-005,-3.9258786e-005
12600086.95943,0.00017987868,2.5721149e-005
12700090.304024,-0.00010846242,-6.8468238e-005
12800093.648617,4.4572043e-005,-2.8868062e-005
12900096.99321,3.1985466e-005,1.8698142e-005
13000100.337804,-0.00021572375,4.5813744e-005
13100103.682397,-0.00018235734,6.3705382e-005
13200107.026991,0.00013160109,-4.0739516e-005
13300110.371584,5.9535414e-005,-5.1043993e-005
13400113.716178,-2.2084245e-005,-1.4654032e-005
13500117.060771,-0.00016679938,-6.3406136e-005
13600120.405365,0.00013591125,3.2140975e-005
13700123.749958,-9.7889686e-005,-6.0703809e-005
13800127.094552,0.00017510033,-4.5626195e-005
13900130.439145,5.0648014e-005,-3.8303326e-005
14000133.783739,6.3031745e-005,4.2051834e-005
14100137.128332,-1.5018296e-005,5.877588e-005
14200140.472926,2.9853963e-006,8.9761437e-005
14300143.817519,9.9243269e-005,-7.3216972e-005
14400147.162112,3.3311939e-005,-5.9210401e-005
14500150.506706,-0.00024318938,0.00014292257
14600153.851299,8.9964095e-005,0.00012311809
14700157.195893,9.6827189e-006,5.6895184e-005
14800160.540486,2.417416e-005,-7.0628208e-005
14900163.88508,0.00010065234,9.4692266e-005
15000167.229673,-5.2245821e-005,0.0001201063
15100170.574267,-3.951351e-005,0.0001721155
15200173.91886,-5.1923562e-005,3.368195e-005
15300177.263454,0.00014276085,-5.1534451e-005
15400180.608047,-5.2273048e-005,3.6292606e-006
15500183.952641,3.1021318e-005,-3.5301455e-005
15600187.297234,0.00013249449,-0.00016796921
15700190.641827,7.165131e-005,0.00012631468
15800193.986421,7.3182578e-005,-0.00016516115
15900197.331014,2.0008376e-005,-1.0049551e-005
16000200.675608,-4.8927115e-005,-1.6649468e-005
16100204.020201,0.00011013244,1.1360183e-005
16200207.364795,2.4261077e-005,3.2797307e-005
16300210.709388,0.0001360039,-3.7841732e-005
16400214.053982,-1.3983979e-005,-4.5472592e-005
16500217.398575,-1.2410504e-006,-4.868388e-005
16600220.743169,-0.00012383064,-3.2427495e-005
16700224.087762,1.201922e-006,-3.3374457e-005
16800227.432356,-0.00013927263,-5.3997432e-005
16900230.776949,-5.5301498e-005,8.1253325e-005
17000234.121543,7.054735e-005,0.00013316471
17100237.466136,-0.00014819167,-3.5714616e-005
17200240.810729,-7.5943922e-006,1.3066636e-005
17300244.155323,3.5875633e-005,4.631772e-005
17400247.499916,3.617979e-005,-8.2263701e-005
17500250.84451,7.7981254e-005,6.6162414e-005
17600254.189103,3.1956533e-005,6.0370261e-005
17700257.533697,0.0001047376,-5.5278295e-005
17800260.87829,0.00011703455,7.9257807e-005
17900264.222884,-5.3830474e-005,2.909787e-005
18000267.567477,5.9816648e-005,5.8931833e-005
18100270.912071,7.9676691e-005,6.2217697e-007
18200274.256664,0.00012644375,6.9482965e-005
18300277.601258,0.00013716205,4.489325e-006
18400280.945851,2.4918405e-005,-5.5511311e-005
18500284.290444,-6.8469439e-005,6.3496766e-005
18600287.635038,-5.0336126e-005,2.8662502e-005
18700290.979631,6.6602734e-005,1.5795707e-005
18800294.324225,-4.0870877e-005,3.3084023e-005
18900297.668818,6.7089262e-005,-2.9116909e-005
19000301.013412,2.2878643e-005,7.1064118e-005
19100304.358005,-2.4908932e-005,-2.0564758e-005
19200307.702599,1.8658575e-005,-1.6190963e-005
19300311.047192,-2.1265892e-005,-4.7560243e-005
19400314.391786,-8.3825063e-005,-6.2579398e-005
19500317.736379,-2.5544701e-005,-2.7698878e-005
19600321.080973,1.8022647e-006,-2.9093801e-005
19700324.425566,1.0793196e-005,-1.0949207e-006
19800327.77016,4.3792716e-005,-1.5003366e-005
19900331.114753,-8.338083e-005,1.1182829e-005
20000334.459346,8.1201521e-005,9.4583178e-005
20100337.80394,3.5478341e-005,-0.0001347975
20200341.148533,-4.5257093e-005,8.1837803e-005
20300344.493127,-7.4700503e-005,-3.2985292e-006
20400347.83772,7.1773022e-005,2.7264257e-005
20500351.182314,-2.9137358e-005,2.9775672e-005
20600354.526907,-5.6052973e-005,0.00011299938
20700357.871501,-8.8543602e-005,-5.2458163e-005
20800361.216094,8.8507084e-005,2.402222e-006
20900364.560688,-7.9156067e-005,7.5896765e-005
21000367.905281,1.919338e-005,3.4484681e-005
21100371.249875,-4.9154936e-005,2.2204151e-005
21200374.594468,-0.00014671929,-9.8397628e-005
21300377.939062,8.428585e-005,1.4065668e-005
21400381.283655,-1.780477e-005,6.016879e-005
21500384.628248,-5.5597095e-005,-6.9141322e-005
