!CSV A.01.01,,,,,,,,
!Agilent Technologies,N5227A,US51270345,A.09.80.20,,,,,
!Agilent N5227A: A.09.80.20,,,,,,,,
!Date: Monday, November 26, 2018 16:02:08,,,,,,
!Source: Standard,,,,,,,,
!,,,,,,,,
!BEGIN CH1_DATA,,,,,,,,
!Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,0.99975544,-0.022879401,-3.9684212e-005,2.5105624e-005,0.0003304288,5.4015916e-005,0.99920803,-0.018129708
10100003.344593,1.0004251,-0.023910796,-0.0001163085,-0.0001806407,0.0001291389,0.0001047695,0.99962491,-0.01916662
10200006.689187,1.0004553,-0.022858506,-4.8965172e-005,0.0002042493,-7.1662267e-005,0.0001595018,0.99989074,-0.019477393
10300010.03378,0.99974155,-0.024083814,4.2656186e-005,0.000123881,0.0001034826,7.5487347e-005,0.99943793,-0.019781804
10400013.378374,0.99987316,-0.023679383,4.7098871e-005,-0.0001304473,0.0002807007,6.2353123e-005,1.0004023,-0.019423973
10500016.722967,0.99974972,-0.023989636,0.0001368307,-4.7768932e-005,7.4836171e-005,4.3485688e-005,0.99952835,-0.020205939
10600020.067561,0.99985272,-0.024282198,-6.404367e-005,0.0001477219,0.0002638865,5.7266843e-005,0.99998748,-0.019944474
10700023.412154,0.99986219,-0.024075985,-5.0757841e-005,1.0380962e-005,0.000122482,-8.7338951e-005,0.99972057,-0.020669613
10800026.756748,0.99992257,-0.024543939,6.9252397e-005,-9.6902986e-005,5.8242596e-005,-0.0003375123,1.0000411,-0.020808648
10900030.101341,1.00024,-0.024786789,2.2514279e-005,-0.0001029101,-6.7288689e-005,0.0003245933,0.99936318,-0.021132315
11000033.445935,0.99929625,-0.025108464,0.0001035176,-9.2112867e-005,8.5548323e-005,0.0001256324,0.99971282,-0.021301044
11100036.790528,1.0001119,-0.025260577,-7.2871415e-005,3.5756993e-006,0.0001427335,0.0002310735,0.99996966,-0.021410786
11200040.135122,1.0001512,-0.024891477,8.1669146e-005,3.6771926e-005,0.0001777168,-5.6649696e-005,0.99932617,-0.021956177
11300043.479715,0.99940968,-0.025118785,-2.5870356e-006,2.2427672e-005,8.1706756e-005,0.0001061121,0.99991196,-0.022547809
11400046.824309,0.99970579,-0.025201404,-0.0003425761,-6.0446284e-005,-7.8221776e-005,2.7128375e-005,0.99981081,-0.021769622
11500050.168902,0.99934864,-0.026056634,-0.0002095158,0.0004221462,3.1752941e-005,0.0001783306,1.0002388,-0.022589285
11600053.513495,0.99956602,-0.02630676,6.248607e-005,0.0001018204,7.1676906e-005,-0.0002719188,0.99910486,-0.022383768
11700056.858089,0.99978739,-0.026201615,2.8960536e-005,-0.0002514942,-6.9773043e-005,-0.0002214883,0.99931306,-0.022297096
11800060.202682,0.99945444,-0.026813554,-5.8009868e-005,-0.0002608102,-0.0003742584,1.9574589e-005,0.99962008,-0.022437615
11900063.547276,0.99937981,-0.0270383,5.2363899e-005,0.0001227408,0.0001170798,4.7479574e-005,0.99979895,-0.02283833
12000066.891869,0.9991926,-0.026859321,-9.9984551e-005,-0.0002009974,-0.0001509645,1.3375359e-005,0.99953616,-0.022710014
12100070.236463,0.99954343,-0.027107643,-6.4285538e-005,5.8405381e-005,4.0516516e-005,-0.000149669,0.99915397,-0.023632105
12200073.581056,0.99924976,-0.027349818,-1.442526e-005,5.423899e-005,6.1409562e-005,-9.9136545e-005,0.9990586,-0.023290418
12300076.92565,0.99975538,-0.0275298,0.0001649324,0.000153963,0.0002308873,-8.8153225e-005,0.99993742,-0.023710594
12400080.270243,0.99971098,-0.027869385,0.0002664083,-0.000125827,1.2586617e-005,-3.0282046e-005,0.99967402,-0.02369353
12500083.614837,0.99970818,-0.028359661,-4.0758045e-005,-3.9258786e-005,-4.5614881e-005,0.0001172329,0.99994969,-0.023843646
12600086.95943,0.99982691,-0.027880257,0.0001798787,2.5721149e-005,-0.0001036888,0.0002897717,0.99968451,-0.024069637
12700090.304024,0.99955106,-0.028010856,-0.0001084624,-6.8468238e-005,8.2440209e-005,-7.8299519e-005,0.99974686,-0.024631441
