!CSV A.01.01
!Agilent Technologies,N5227A,US51270345,A.09.80.20
!Agilent N5227A: A.09.80.20
!Date: Monday, November 26, 2018 16:20:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG)
10000000,-0.060029123,0.025300507
10100003.344593,0.018158909,0.028437471
10200006.689187,-0.037062559,-0.031242972
10300010.03378,0.046681743,0.034051735
10400013.378374,0.00057391013,-0.040605824
10500016.722967,0.05132116,0.047719602
10600020.067561,0.027075332,-0.042081904
10700023.412154,-0.044353321,0.013014001
10800026.756748,-0.053148445,-0.038101159
10900030.101341,0.045303799,0.016797811
11000033.445935,0.014768634,-0.070573814
11100036.790528,0.0072140964,0.036685649
11200040.135122,0.05597873,0.0080957068
11300043.479715,0.023121027,0.0012737267
11400046.824309,-0.073210441,-0.0068744002
11500050.168902,-0.055989005,0.045862373
11600053.513495,0.057337426,-0.026580123
11700056.858089,-0.021382116,0.02730142
11800060.202682,0.026311856,-0.033119172
11900063.547276,-0.034613408,-0.0010300935
12000066.891869,-0.0669448,-0.024427682
12100070.236463,0.013683985,0.054741383
12200073.581056,0.038850471,-0.115403
12300076.92565,-0.0058984142,-0.023298401
12400080.270243,-0.01141573,-0.02054083
12500083.614837,0.025944743,-0.020096529
12600086.95943,0.012447999,0.018025249
12700090.304024,0.00018390386,-0.0022885038
12800093.648617,-0.024168434,0.040373381
12900096.99321,0.018458527,-0.036012523
13000100.337804,0.019718103,0.045241576
13100103.682397,0.042510677,-0.013701409
13200107.026991,0.018400665,0.013608051
13300110.371584,-0.0087198149,-0.016118677
13400113.716178,-0.025278244,-0.035073858
13500117.060771,-0.0089483503,-0.027030306
13600120.405365,0.024094781,0.048085615
13700123.749958,0.017271457,-0.0091838464
13800127.094552,0.016106939,-0.032695271
13900130.439145,-0.0047393907,-0.00084502128
14000133.783739,-0.0041704187,0.05579447
14100137.128332,0.022546217,0.0046483325
14200140.472926,-0.009275292,0.024787275
14300143.817519,-0.016279897,0.023106564
14400147.162112,-0.017708384,0.023089046
14500150.506706,0.0064433576,0.024117265
14600153.851299,-0.014652581,-0.018773643
14700157.195893,-0.020448295,-0.039754231
14800160.540486,-0.023484699,0.0029082585
14900163.88508,-0.012907349,-0.0078131901
15000167.229673,0.0027832554,-0.041190058
15100170.574267,0.014273083,0.0083841868
15200173.91886,0.0047187926,0.0026507052
15300177.263454,0.0041499794,-0.0068986989
15400180.608047,-0.024579886,0.013502127
15500183.952641,-0.013623044,0.0032263815
15600187.297234,-0.0012281623,-0.024586756
15700190.641827,-0.023752177,-0.017514551
15800193.986421,0.0019615742,-0.0071106264
15900197.331014,0.018615317,0.017871523
16000200.675608,0.017300118,0.017713578
16100204.020201,-0.0058234455,-0.0080902139
16200207.364795,0.025677435,-0.00077462639
16300210.709388,-0.0067911558,-0.012258361
16400214.053982,0.011512983,-0.00075047323
16500217.398575,-0.0046329033,0.018953864
16600220.743169,0.0096581606,0.011559683
16700224.087762,-0.0037888065,0.021908576
16800227.432356,-0.019058172,-0.02942927
16900230.776949,0.013829486,0.027350876
17000234.121543,0.022344943,-0.032975819
17100237.466136,0.0012363564,-0.01661312
17200240.810729,-0.0047581419,0.0093203019
17300244.155323,-0.020726033,0.024601897
17400247.499916,-0.0035849521,0.00081498525
17500250.84451,-0.01974644,-0.015726466
17600254.189103,-0.0049883905,0.015138808
17700257.533697,0.0088872025,0.012021462
17800260.87829,-0.014089816,0.014563943
17900264.222884,-0.0047081579,-0.02992768
18000267.567477,0.029038573,-0.0071815415
18100270.912071,0.0084441928,-0.0026580133
18200274.256664,0.0090498775,-0.020777041
18300277.601258,0.0090284552,0.031341325
18400280.945851,-0.016141197,-0.011341489
18500284.290444,-0.0098658549,0.0026581537
18600287.635038,-0.0062921154,-0.01062948
18700290.979631,-0.015068053,-0.003505711
18800294.324225,-0.00758499,0.0078811897
18900297.668818,-0.011882487,-0.0073004644
19000301.013412,-0.0045265402,0.02091367
19100304.358005,-0.022484718,0.019243697
19200307.702599,0.009163796,-0.013534724
19300311.047192,-0.022375369,-0.02659696
19400314.391786,0.0010502087,0.014804998
19500317.736379,-0.0062170015,-0.015361796
19600321.080973,-0.016526164,0.01712657
19700324.425566,0.019139914,0.016308814
19800327.77016,-0.033031307,0.02272914
19900331.114753,4.7300359e-006,0.00040367668
20000334.459346,0.0091728754,0.0045953407
20100337.80394,-0.011182813,0.020435991
20200341.148533,0.00041871419,0.0063931807
20300344.493127,-0.0073208408,-0.0058983224
20400347.83772,-0.02484644,-0.0071313749
20500351.182314,-0.0035518815,-0.0016584712
20600354.526907,-0.017288329,-0.0023663805
20700357.871501,0.0099167041,-0.0059429416
20800361.216094,-0.0061550746,-0.002857062
20900364.560688,-0.0068604718,-0.0071210302
21000367.905281,0.0026911132,0.0034677554
21100371.249875,0.014745275,0.00082145067
21200374.594468,-0.00014129348,-0.0082618007
21300377.939062,-0.0015422713,-0.0047249566
21400381.283655,0.0080864457,0.01264127
21500384.628248,0.0070476169,-0.0071235844
21600387.972842,0.011254583,-0.0085284514
21700391.317435,0.0011912285,-0.00048116819
21800394.662029,-0.0050426284,0.027224053
21900398.006622,-0.0096891895,-0.015980821
22000401.351216,0.023251986,-0.0073082126
22100404.695809,0.015545225,-0.012958055
22200408.040403,-0.0081383307,-0.018733144
22300411.384996,-0.0048954198,0.0070653418
22400414.72959,-0.011838758,0.0012911436
22500418.074183,0.0031390435,0.0032914826
22600421.418777,-0.0076310751,-0.01107231
22700424.76337,-0.0034012967,0.0016968254
22800428.107963,-0.01158589,0.00080013683
22900431.452557,0.0072655519,-0.013884743
23000434.79715,-0.0012153521,0.0074945134
23100438.141744,0.00026630095,-0.0068834312
23200441.486337,0.016112147,0.0017657396
23300444.830931,-0.00042763556,-0.0028224704
23400448.175524,0.012717226,0.0053946804
23500451.520118,0.013820765,-0.012306822
23600454.864711,-0.0045413608,-0.0012217137
23700458.209305,0.011095257,-5.3556374e-005
23800461.553898,-0.0043138424,0.01091332
23900464.898492,0.0079712858,-0.011447056
24000468.243085,-0.010297191,-0.020326927
24100471.587679,-0.0054227337,-0.010185996
24200474.932272,-0.0051095313,0.00043417944
24300478.276865,0.0076575363,-0.010989826
24400481.621459,0.011563714,-0.013273366
24500484.966052,0.0038848801,-6.378354e-005
24600488.310646,0.0058489698,0.011824693
24700491.655239,0.0028044505,-0.015458512
24800494.999833,-0.0047268993,-0.0012027818
24900498.344426,0.0031849362,0.0069758105
25000501.68902,0.011926094,-0.0084937541
25100505.033613,-0.0024879673,-0.0066906945
25200508.378207,-0.0017755395,0.0051339474
25300511.7228,0.0016745124,-0.0024827935
25400515.067394,-0.00032798696,-0.010046665
25500518.411987,-0.00022894968,-0.014097296
25600521.75658,0.00097445882,0.0013326599
25700525.101174,-0.0093821585,0.0066273687
25800528.445767,-0.003242739,0.0054919254
25900531.790361,-0.0069514727,0.015077833
26000535.134954,-0.00090266124,0.0088507924
26100538.479548,-0.0036016712,-0.0029151835
26200541.824141,-0.0010068277,0.002891111
26300545.168735,-0.01818168,-0.0056171236
26400548.513328,-0.0097785555,0.001066346
26500551.857922,0.0057374989,-0.0033066941
26600555.202515,-0.0055287802,-0.014229132
26700558.547109,0.0063425074,0.0019207518
26800561.891702,-0.022376714,-0.012372151
26900565.236296,-0.001491809,-0.0033850682
27000568.580889,0.0023385244,-0.0082379058
27100571.925482,0.014563643,-0.0063061411
27200575.270076,-0.0022579038,-0.011675766
27300578.614669,0.00097715924,-0.003539213
27400581.959263,0.0073406938,0.010631921
27500585.303856,0.015009385,0.0035873849
27600588.64845,0.0084126592,0.0039231698
27700591.993043,0.010764414,0.0031080304
27800595.337637,0.001062058,-0.0086225737
27900598.68223,0.003424813,0.0037272323
28000602.026824,-0.00067421503,0.010135761
28100605.371417,0.0042149187,0.0036602435
28200608.716011,-0.00020088934,-0.0050308574
28300612.060604,-0.0014526169,0.0036730759
28400615.405197,0.0031997187,-0.0048933653
28500618.749791,-0.0032483612,0.0057938178
28600622.094384,-0.0027011661,0.0018652421
28700625.438978,0.013171243,-0.012427354
28800628.783571,-0.0034723885,-0.0030473087
28900632.128165,-0.0070716911,-0.0021819919
29000635.472758,0.0035679657,0.0019190155
29100638.817352,-0.0035468871,0.0077905073
29200642.161945,0.0041482956,0.0021364414
29300645.506539,0.012626953,0.0017969888
29400648.851132,-0.0078726253,0.00052069704
29500652.195726,0.0014457701,0.00040680228
29600655.540319,-0.00032351841,-0.01032861
29700658.884913,-0.0064510293,-0.0011517993
29800662.229506,-0.003269742,-0.0048334217
29900665.574099,-0.0065734121,0.017122939
30000668.918693,-0.003462109,-0.0066921567
30100672.263286,-0.0057528624,0.0093486197
30200675.60788,-0.0073348316,-0.016420865
30300678.952473,-0.0064280592,-0.0025523875
30400682.297067,0.0067880074,-0.0027467187
